Avail_Sol,Avail_Wind_On,Avail_Wind_Off
0,0.56118977,0.749335745
0,0.545329883,0.762466882
0,0.536114102,0.77895537
0,0.552879074,0.785097691
0,0.634021504,0.799841383
0,0.693884977,0.840414984
0,0.678240805,0.852483798
0,0.695434222,0.854640341
7.83E-05,0.743128626,0.871347516
0.011252827,0.754647757,0.882117271
0.03512693,0.740321711,0.828939518
0.098357975,0.771690322,0.831015254
0.116505281,0.815498118,0.861810812
0.145807375,0.848624505,0.902346618
0.140704719,0.844140841,0.918281166
0.020831159,0.799996033,0.918777616
0,0.739879285,0.910102751
0,0.680275638,0.895595212
0,0.644275241,0.883526943
0,0.633607162,0.874113075
0,0.628559354,0.869923525
0,0.601095328,0.852055873
0,0.596075212,0.862912137
0,0.552813573,0.83307341
0,0.509756631,0.80961719
0,0.479278126,0.786039567
0,0.465793248,0.773916251
0,0.441469575,0.758951955
0,0.410936699,0.732745931
0,0.379404456,0.69449464
0,0.383848905,0.684080181
0,0.385120248,0.690328606
0.000127369,0.38470087,0.68791898
0.068670349,0.38942958,0.674217454
0.270026204,0.388270145,0.693269776
0.348581896,0.351119436,0.635872677
0.422377055,0.322253655,0.608240084
0.408009397,0.333558637,0.605981481
0.265881558,0.358778849,0.610400882
0.02766865,0.346919015,0.594818258
0,0.36258798,0.551348708
0,0.418097385,0.594937158
0,0.474492712,0.640538368
0,0.505370558,0.678811077
0,0.543778603,0.733716756
0,0.555890998,0.749806708
0,0.611442718,0.768939762
0,0.652184125,0.815305634
0,0.713562581,0.84658816
0,0.799519254,0.886586973
0,0.853332487,0.915608153
0,0.882928491,0.928721408
0,0.913169932,0.934237986
0,0.922445775,0.937116902
0,0.923270414,0.937451687
0,0.916366681,0.926772074
1.55E-05,0.852876207,0.919953846
0.001660688,0.781354167,0.90547635
0.008150088,0.707897508,0.87765289
0.033097282,0.583245531,0.811843023
0.061079484,0.471138965,0.744533711
0.101433886,0.378053333,0.6800115
0.09642505,0.266878186,0.532898099
0.01516031,0.210875082,0.428172708
1.55E-07,0.201362933,0.424403082
0,0.176779503,0.394797198
0,0.141946166,0.320280031
0,0.130193734,0.266455017
0,0.14973537,0.259340989
0,0.157938564,0.286864229
0,0.222981568,0.355593668
0,0.267092256,0.349692063
0,0.310664226,0.348648367
0,0.360193351,0.377040735
0,0.401579344,0.40460966
0,0.413498691,0.428908656
0,0.427395404,0.453625854
0,0.434603764,0.473242796
0,0.440358464,0.489497456
0,0.434806752,0.494169593
9.15E-05,0.418181503,0.491190293
0.045588345,0.404064348,0.479781114
0.164448135,0.374686032,0.442270362
0.209341377,0.384064743,0.421267533
0.23375225,0.357099316,0.393505761
0.204436311,0.304406401,0.344902955
0.168971321,0.273314979,0.29957809
0.022230639,0.242202716,0.276114859
8.74E-07,0.19289344,0.238170919
0,0.154649135,0.182638982
0,0.128922448,0.152397426
0,0.11449777,0.140195007
0,0.10496734,0.129702992
0,0.098497719,0.125527557
0,0.100501615,0.131241736
0,0.106832978,0.131370578
0,0.123747373,0.14052573
0,0.150702359,0.162043047
0,0.156175126,0.176392138
0,0.145565405,0.188191179
0,0.129705876,0.196906359
0,0.122469498,0.202022811
0,0.122018812,0.197543124
0,0.115599811,0.189416422
7.90E-05,0.112553344,0.177847291
