MTU (CET),Demand (MW),Price (EUR/MWh)
01.01.2018 00:00 - 01.01.2018 01:00,9715,26.33
01.01.2018 01:00 - 01.01.2018 02:00,9410,26.43
01.01.2018 02:00 - 01.01.2018 03:00,9242,26.1
01.01.2018 03:00 - 01.01.2018 04:00,9260,24.7
01.01.2018 04:00 - 01.01.2018 05:00,9364,24.74
01.01.2018 05:00 - 01.01.2018 06:00,9586,18.01
01.01.2018 06:00 - 01.01.2018 07:00,9597,17.78
01.01.2018 07:00 - 01.01.2018 08:00,9813,17.8
01.01.2018 08:00 - 01.01.2018 09:00,9827,19.76
01.01.2018 09:00 - 01.01.2018 10:00,9864,20.73
01.01.2018 10:00 - 01.01.2018 11:00,10047,24.76
01.01.2018 11:00 - 01.01.2018 12:00,10071,25.68
01.01.2018 12:00 - 01.01.2018 13:00,10070,24.09
01.01.2018 13:00 - 01.01.2018 14:00,10173,25.01
01.01.2018 14:00 - 01.01.2018 15:00,10488,25.81
01.01.2018 15:00 - 01.01.2018 16:00,10650,26.46
01.01.2018 16:00 - 01.01.2018 17:00,10667,27.03
01.01.2018 17:00 - 01.01.2018 18:00,10754,27.43
01.01.2018 18:00 - 01.01.2018 19:00,10742,27.29
01.01.2018 19:00 - 01.01.2018 20:00,10550,26.96
01.01.2018 20:00 - 01.01.2018 21:00,10184,26.7
01.01.2018 21:00 - 01.01.2018 22:00,10458,26.47
01.01.2018 22:00 - 01.01.2018 23:00,10289,26.09
01.01.2018 23:00 - 02.01.2018 00:00,9856,24.88
02.01.2018 00:00 - 02.01.2018 01:00,9562,25.28
02.01.2018 01:00 - 02.01.2018 02:00,9367,23.16
02.01.2018 02:00 - 02.01.2018 03:00,9271,24.78
02.01.2018 03:00 - 02.01.2018 04:00,9304,25.03
02.01.2018 04:00 - 02.01.2018 05:00,9584,25.73
02.01.2018 05:00 - 02.01.2018 06:00,10326,26.84
02.01.2018 06:00 - 02.01.2018 07:00,10758,27.8
02.01.2018 07:00 - 02.01.2018 08:00,11049,30.5
02.01.2018 08:00 - 02.01.2018 09:00,11113,31.93
02.01.2018 09:00 - 02.01.2018 10:00,11070,33.53
02.01.2018 10:00 - 02.01.2018 11:00,11095,35.04
02.01.2018 11:00 - 02.01.2018 12:00,11166,35.22
02.01.2018 12:00 - 02.01.2018 13:00,11126,34.56
02.01.2018 13:00 - 02.01.2018 14:00,11154,34.1
02.01.2018 14:00 - 02.01.2018 15:00,11322,35.98
02.01.2018 15:00 - 02.01.2018 16:00,11514,38.05
02.01.2018 16:00 - 02.01.2018 17:00,11507,41.67
02.01.2018 17:00 - 02.01.2018 18:00,11489,42.39
02.01.2018 18:00 - 02.01.2018 19:00,11451,37.79
02.01.2018 19:00 - 02.01.2018 20:00,11262,33.7
02.01.2018 20:00 - 02.01.2018 21:00,10711,30.88
02.01.2018 21:00 - 02.01.2018 22:00,10851,28.85
02.01.2018 22:00 - 02.01.2018 23:00,10678,27.99
02.01.2018 23:00 - 03.01.2018 00:00,10094,27.6
03.01.2018 00:00 - 03.01.2018 01:00,9669,27.12
03.01.2018 01:00 - 03.01.2018 02:00,9379,26.61
03.01.2018 02:00 - 03.01.2018 03:00,9338,26.26
03.01.2018 03:00 - 03.01.2018 04:00,9328,26.23
03.01.2018 04:00 - 03.01.2018 05:00,9579,26.42
03.01.2018 05:00 - 03.01.2018 06:00,10330,27.47
03.01.2018 06:00 - 03.01.2018 07:00,10799,28.31
03.01.2018 07:00 - 03.01.2018 08:00,11165,28.95
03.01.2018 08:00 - 03.01.2018 09:00,11199,29.2
03.01.2018 09:00 - 03.01.2018 10:00,11008,29.28
03.01.2018 10:00 - 03.01.2018 11:00,11110,29.42
03.01.2018 11:00 - 03.01.2018 12:00,11131,29.25
03.01.2018 12:00 - 03.01.2018 13:00,11071,29.23
03.01.2018 13:00 - 03.01.2018 14:00,11179,29.49
03.01.2018 14:00 - 03.01.2018 15:00,11467,29.86
03.01.2018 15:00 - 03.01.2018 16:00,11576,30.51
03.01.2018 16:00 - 03.01.2018 17:00,11573,31.33
03.01.2018 17:00 - 03.01.2018 18:00,11512,31.59
03.01.2018 18:00 - 03.01.2018 19:00,11497,30.78
03.01.2018 19:00 - 03.01.2018 20:00,11321,30.15
03.01.2018 20:00 - 03.01.2018 21:00,10811,29.37
03.01.2018 21:00 - 03.01.2018 22:00,10886,28.93
03.01.2018 22:00 - 03.01.2018 23:00,10638,28.13
03.01.2018 23:00 - 04.01.2018 00:00,10222,27.31
04.01.2018 00:00 - 04.01.2018 01:00,9799,27.05
