Time (CET/CEST),Demand (MW),Price (EUR/MWh)
01.01.2018 00:00 - 01.01.2018 01:00,15563,26.33
01.01.2018 01:00 - 01.01.2018 02:00,15229,26.43
01.01.2018 02:00 - 01.01.2018 03:00,15259,26.1
01.01.2018 03:00 - 01.01.2018 04:00,15026,24.7
01.01.2018 04:00 - 01.01.2018 05:00,14844,24.74
01.01.2018 05:00 - 01.01.2018 06:00,15033,18.01
01.01.2018 06:00 - 01.01.2018 07:00,15298,17.78
01.01.2018 07:00 - 01.01.2018 08:00,15539,17.8
01.01.2018 08:00 - 01.01.2018 09:00,15766,19.76
01.01.2018 09:00 - 01.01.2018 10:00,16082,20.73
01.01.2018 10:00 - 01.01.2018 11:00,16602,24.76
01.01.2018 11:00 - 01.01.2018 12:00,16815,25.68
01.01.2018 12:00 - 01.01.2018 13:00,17066,24.09
01.01.2018 13:00 - 01.01.2018 14:00,17160,25.01
01.01.2018 14:00 - 01.01.2018 15:00,17423,25.81
01.01.2018 15:00 - 01.01.2018 16:00,17940,26.46
01.01.2018 16:00 - 01.01.2018 17:00,18351,27.03
01.01.2018 17:00 - 01.01.2018 18:00,18432,27.43
01.01.2018 18:00 - 01.01.2018 19:00,18196,27.29
01.01.2018 19:00 - 01.01.2018 20:00,17920,26.96
01.01.2018 20:00 - 01.01.2018 21:00,17445,26.7
01.01.2018 21:00 - 01.01.2018 22:00,16800,26.47
01.01.2018 22:00 - 01.01.2018 23:00,16320,26.09
01.01.2018 23:00 - 02.01.2018 00:00,15496,24.88
02.01.2018 00:00 - 02.01.2018 01:00,14934,25.28
02.01.2018 01:00 - 02.01.2018 02:00,14628,23.16
02.01.2018 02:00 - 02.01.2018 03:00,14524,24.78
02.01.2018 03:00 - 02.01.2018 04:00,14667,25.03
02.01.2018 04:00 - 02.01.2018 05:00,15629,25.73
02.01.2018 05:00 - 02.01.2018 06:00,16426,26.84
02.01.2018 06:00 - 02.01.2018 07:00,16859,27.8
02.01.2018 07:00 - 02.01.2018 08:00,18792,30.5
02.01.2018 08:00 - 02.01.2018 09:00,19284,31.93
02.01.2018 09:00 - 02.01.2018 10:00,19374,33.53
02.01.2018 10:00 - 02.01.2018 11:00,19799,35.04
