set_up,obj_value,investments
"large, large, large, large",1.113649475716801e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, large, small",1.1108094394807155e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, small, large",1.113649475716801e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, small, small",1.1108094394807155e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, small, large, large",1.1135145596151268e9,"(0, 0, 9000, 3000, 0, 9000, 6000, 9000, 3000, 6000)"
"large, small, large, small",1.1106687066734583e9,"(0, 0, 9000, 3000, 0, 9000, 6000, 9000, 3000, 6000)"
"large, small, small, large",1.1135145596151268e9,"(0, 0, 9000, 3000, 0, 9000, 6000, 9000, 3000, 6000)"
"large, small, small, small",1.1106687066734583e9,"(0, 0, 9000, 3000, 0, 9000, 6000, 9000, 3000, 6000)"
"small, large, large, large",1.0897138343988163e9,"(0, 0, 3000, 0, 0, 9000, 0, 9000, 0, 3000)"
"small, large, large, small",1.082939453810859e9,"(0, 0, 3000, 0, 0, 3000, 0, 9000, 0, 3000)"
"small, large, small, large",1.0897138343988163e9,"(0, 0, 3000, 0, 0, 9000, 0, 9000, 0, 3000)"
"small, large, small, small",1.082939453810859e9,"(0, 0, 3000, 0, 0, 3000, 0, 9000, 0, 3000)"
"small, small, large, large",1.089585372194178e9,"(0, 0, 3000, 0, 0, 6000, 0, 9000, 0, 3000)"
"small, small, large, small",1.082939453810859e9,"(0, 0, 3000, 0, 0, 3000, 0, 9000, 0, 3000)"
"small, small, small, large",1.089585372194178e9,"(0, 0, 3000, 0, 0, 6000, 0, 9000, 0, 3000)"
"small, small, small, small",1.082939453810859e9,"(0, 0, 3000, 0, 0, 3000, 0, 9000, 0, 3000)"
