set_up,obj_value,investments
"large, large, large, large",1.1077342635460322e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 3000, 3000)"
"large, large, large, small",1.1042471240134792e9,"(0, 0, 9000, 0, 0, 9000, 3000, 9000, 3000, 3000)"
"large, large, small, large",1.1077342635460322e9,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 3000, 3000)"
"large, large, small, small",1.1042471240134792e9,"(0, 0, 9000, 0, 0, 9000, 3000, 9000, 3000, 3000)"
"large, small, large, large",1.107171093155419e9,"(0, 0, 0, 9000, 0, 9000, 3000, 9000, 0, 3000)"
"large, small, large, small",1.103782024399884e9,"(0, 0, 0, 9000, 0, 9000, 3000, 9000, 0, 3000)"
"large, small, small, large",1.107171093155419e9,"(0, 0, 0, 9000, 0, 9000, 3000, 9000, 0, 3000)"
"large, small, small, small",1.103782024399884e9,"(0, 0, 0, 9000, 0, 9000, 3000, 9000, 0, 3000)"
"small, large, large, large",1.1002731906704524e9,"(0, 0, 6000, 0, 0, 9000, 0, 9000, 0, 6000)"
"small, large, large, small",1.0959791578399322e9,"(0, 0, 0, 0, 0, 9000, 0, 9000, 0, 0)"
"small, large, small, large",1.1002731906704524e9,"(0, 0, 6000, 0, 0, 9000, 0, 9000, 0, 6000)"
"small, large, small, small",1.0959791578399322e9,"(0, 0, 0, 0, 0, 9000, 0, 9000, 0, 0)"
"small, small, large, large",1.100220416131939e9,"(0, 0, 6000, 0, 0, 9000, 0, 9000, 0, 3000)"
"small, small, large, small",1.0959791578399322e9,"(0, 0, 0, 0, 0, 9000, 0, 9000, 0, 0)"
"small, small, small, large",1.100220416131939e9,"(0, 0, 6000, 0, 0, 9000, 0, 9000, 0, 3000)"
"small, small, small, small",1.0959791578399322e9,"(0, 0, 0, 0, 0, 9000, 0, 9000, 0, 0)"
