set_up,obj_value_cen,VRES_share_cen,Total_generation_cen,obj_value_per,VRES_share_per,Total_generation_per
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: large, INCENTIVE: large:

",1107734263.55,91.88,1185210.29,1107734263.55,91.88,1185210.29
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: large, INCENTIVE: small:

",1104247124.01,90.80,1152926.67,1104247124.01,90.80,1152926.67
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: small, INCENTIVE: large:

",1107734263.55,91.88,1185210.29,1107734263.55,91.88,1185210.29
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: small, INCENTIVE: small:

",1104247124.01,90.80,1152926.67,1104247124.01,90.80,1152926.67
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: large, INCENTIVE: large:

",1107171093.16,90.44,1136919.55,1107171093.16,90.44,1136919.55
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: large, INCENTIVE: small:

",1103782024.40,88.48,1112553.28,1103782024.40,88.48,1112553.28
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: small, INCENTIVE: large:

",1107171093.16,90.44,1136919.55,1107171093.16,90.44,1136919.55
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1103782024.40,88.48,1112553.28,1103782024.40,88.48,1112553.28
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: large, INCENTIVE: large:

",1100273190.67,77.16,917538.70,1100273190.67,77.16,917538.70
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: large, INCENTIVE: small:

",1095979157.84,56.84,914748.73,1095979157.84,56.84,914748.73
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: small, INCENTIVE: large:

",1100273190.67,77.16,917538.70,1100273190.67,77.16,917538.70
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: small, INCENTIVE: small:

",1095979157.84,56.84,914748.73,1095979157.84,56.84,914748.73
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: large, INCENTIVE: large:

",1100220416.13,73.48,922412.27,1100220416.13,73.48,922412.27
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: large, INCENTIVE: small:

",1095979157.84,56.84,914748.73,1095979157.84,56.84,914748.73
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: large:

",1100220416.13,73.48,922412.27,1100220416.13,73.48,922412.27
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1095979157.84,56.84,914748.73,1095979157.84,56.84,914748.73
