set_up,obj_value,investments
"large, large, large, large",1113985632.56,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, large, small",1111261200.89,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, small, large",1113985632.56,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, large, small, small",1111261200.89,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"large, small, large, large",1106016580.02,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"large, small, large, small",1103323916.92,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"large, small, small, large",1106016580.02,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"large, small, small, small",1103323916.92,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"small, large, large, large",1113985632.56,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"small, large, large, small",1111261200.89,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"small, large, small, large",1113985632.56,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"small, large, small, small",1111261200.89,"(0, 0, 6000, 6000, 0, 9000, 3000, 9000, 6000, 3000)"
"small, small, large, large",1106016580.02,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"small, small, large, small",1103323916.92,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"small, small, small, large",1106016580.02,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
"small, small, small, small",1103323916.92,"(0, 0, 0, 0, 0, 3000, 0, 0, 0, 0)"
