set_up,obj_value_cen,VRES_share_cen,Total_generation_cen,obj_value_per,VRES_share_per,Total_generation_per
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: large, INCENTIVE: large:

",1.11E+09,92.96,1.24E+06,1.11E+09,92.96,1.24E+06
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: large, INCENTIVE: small:

",1.11E+09,92.16,1.23E+06,1.11E+09,92.16,1.23E+06
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: small, INCENTIVE: large:

",1.11E+09,92.96,1.24E+06,1.11E+09,92.96,1.24E+06
"GEN BUDGET: large, TRANSM BUDGET: large, TAX: small, INCENTIVE: small:

",1.11E+09,92.16,1.23E+06,1.11E+09,92.16,1.23E+06
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: large, INCENTIVE: large:

",1.11E+09,85.36,1.13E+06,1.11E+09,85.36,1.13E+06
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: large, INCENTIVE: small:

",1.10E+09,82.72,1.11E+06,1.10E+09,82.72,1.11E+06
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: small, INCENTIVE: large:

",1.11E+09,85.36,1.13E+06,1.11E+09,85.36,1.13E+06
"GEN BUDGET: large, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1.10E+09,82.72,1.11E+06,1.10E+09,82.72,1.11E+06
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: large, INCENTIVE: large:

",1.11E+09,92.96,1.24E+06,1.11E+09,92.96,1.24E+06
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: large, INCENTIVE: small:

",1.11E+09,92.16,1.23E+06,1.11E+09,92.16,1.23E+06
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: small, INCENTIVE: large:

",1.11E+09,92.96,1.24E+06,1.11E+09,92.96,1.24E+06
"GEN BUDGET: small, TRANSM BUDGET: large, TAX: small, INCENTIVE: small:

",1.11E+09,92.16,1.23E+06,1.11E+09,92.16,1.23E+06
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: large, INCENTIVE: large:

",1.11E+09,85.36,1.13E+06,1.11E+09,85.36,1.13E+06
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: large, INCENTIVE: small:

",1.10E+09,82.72,1.11E+06,1.10E+09,82.72,1.11E+06
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: large:

",1.11E+09,85.36,1.13E+06,1.11E+09,85.36,1.13E+06
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1.10E+09,82.72,1.11E+06,1.10E+09,82.72,1.11E+06
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1.06E+09,35.44,445874.2655,1.06E+09,35.44,445874.2655
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1.06E+09,35.44,445874.2655,1.06E+09,35.44,445874.2655
"GEN BUDGET: small, TRANSM BUDGET: small, TAX: small, INCENTIVE: small:

",1061256909.38,35.44,445874.27,1061256909.38,35.44,445874.27
