x1,x2
2818.71006231,2134.01486097
2756.11486106,2082.97569688
2729.15077437,2058.90061948
2759.00387035,2068.53065044
2900.56532547,2118.60681144
3388.8078952,2430.61981457
3899.19953614,2823.52507779
4227.58359191,3188.50325121
4334.47693558,3398.43792616
4324.84690462,3461.9961305
4289.21579006,3468.73715218
4207.36052689,3434.06904072
4251.65866931,3481.25619243
4234.32461358,3456.21811193
4229.5095981,3389.7708983
4311.36486127,3311.76764751
4339.29195106,3202.94829765
4237.21362287,3129.76006235
4112.02322038,3068.1278642
3975.27678073,3031.53374654
3747.04504695,3038.27476822
3456.21811193,2866.86021711
3179.83622335,2544.25417991
2972.79055768,2322.76346781
