x1,x2
10728.9910799,7289.5864276
10510.43033036,7174.45174705
10474.32877799,7156.88882967
10588.48774091,7229.09193443
10979.75051129,7332.51800341
11905.70654392,7916.97286489
12323.31369036,8656.56682984
12422.8368888,8962.94216624
12440.39980618,9022.46094178
12331.11943141,9096.6154818
12310.62936114,9115.15411681
12250.13486797,9150.27995156
12184.76178663,9077.10112917
12170.12602215,9014.65520073
12250.13486797,8966.84503677
12472.59848803,8910.25341412
12490.1614054,8901.47195543
12445.27839434,8873.17614411
12369.17241905,8920.98630807
12121.34014056,8924.8891786
11587.62259593,8720.96419354
11627.62701884,8747.3085696
11339.79031744,8327.7499879
10860.7129602,7779.3966788
