x1,x2
17936.83401946,11057.94091914
17600.10498658,10761.29867588
17477.84027821,10599.94934763
17481.84895717,10599.94934763
17461.80556236,10775.32905225
18033.04231457,11111.0559154
19424.05391469,11948.86981864
21213.92907163,13290.77510147
21674.92715236,13658.57139631
21568.69715984,13691.64299776
21481.5083924,13665.5865845
21426.38905666,13436.08971387
21126.74030418,13362.9313228
20947.35192059,13237.66010521
20916.28465863,13455.13093895
20940.33673241,13423.06150724
21115.71643703,13229.64274728
21123.73379496,13070.29775851
21020.51031167,12997.13936744
20703.8246736,12918.97012766
20076.4664159,13021.19144121
19501.22098473,13057.26955188
18999.13394463,12694.48410574
18491.03388608,11937.84595149
