x1,x2
17139.95565925,10620.77307875
16864.73428379,10530.68262851
16669.7033091,10522.76258893
16721.18356638,10307.93151528
17068.67530302,10529.69262357
18052.74022102,11139.53567134
19949.58970078,12770.07382017
22176.11082812,14114.50053913
22383.02186218,14735.23364133
22159.28074401,14816.41404704
22435.49212441,14762.95377986
22290.95140205,14641.1831713
22040.48015029,14586.73289917
21940.48965057,14490.70241925
21646.45818111,14196.67094979
21522.70756265,14029.36011363
21720.70855218,13930.35961886
21874.15931907,13884.81939127
21585.07787435,13666.02829783
20664.37327301,13385.85689763
19641.69816205,13212.60603179
19024.92507964,12816.60405272
18024.03007753,12050.34022321
17590.40791045,11091.0254289
