x1,x2
0.33277151,0.46409975
0.34066626,0.43750759
0.35112514,0.42600698
0.36425725,0.41251596
0.37300811,0.37901444
0.37168261,0.36948601
0.37638577,0.3512895
0.38588088,0.34201075
0.39987622,0.33961618
0.41126773,0.35260635
0.40958756,0.35250629
0.42670535,0.34526037
0.42870184,0.32455042
0.43633105,0.31986701
0.43880139,0.32014214
0.43220858,0.32475331
0.42809237,0.31361545
0.41955656,0.30399208
0.40847329,0.30996534
0.40402631,0.33744844
0.39547505,0.37725004
0.38597685,0.42379252
0.34263851,0.51124415
0.33923233,0.54658164
