x1,x2,x3
2821.43627742,2213.1936088,2118.72802793
2758.78053501,2160.17721137,2061.85589252
2731.79036905,2136.07884891,2023.29851257
2761.6723385,2170.78049086,1997.27228111
2903.3707098,2275.84935121,2043.54113704
3392.08550059,2642.14446068,2373.20673556
3902.97078485,3008.43957014,2765.5280765
4231.67244887,3319.79041319,3142.42646545
4338.66917822,3457.63304649,3345.81664466
4329.02983323,3429.67894604,3398.83304208
4293.36425678,3447.02976701,3404.61664907
4211.4298244,3414.25599406,3366.05926913
4255.77081134,3471.12812948,3418.11173205
4238.41999036,3411.36419056,3385.3379591
4233.60031787,3360.27566214,3335.21336517
4315.53475025,3279.30516425,3272.55762276
4343.48885071,3175.2002384,3168.45269691
4241.31179386,3131.82318597,3107.7248235
4116.00030904,3094.22974052,3024.82645662
3979.12161024,3193.51499388,2959.27891072
3750.66913407,3103.86908551,2872.52480584
3459.56091549,2796.37398045,2771.31168349
3182.91171439,2504.30182737,2564.06576629
2975.66579719,2307.65918966,2343.32476611
