x1,x2,x3
3313.71342606,2883.10092282,2697.83740399
3210.56671017,2790.96987562,2584.67644384
3151.48266902,2731.88583448,2516.57958286
3144.47269804,2732.8872589,2514.57673401
3215.5738323,2801.98554431,2552.6308622
3462.92566555,3044.33025543,2611.71490334
4134.88145548,3624.15499816,2946.19066167
4847.89564689,4108.8444204,3339.75046114
5094.24605571,4316.13927661,3667.21624848
5058.19477637,4331.160643,3845.46979633
5113.27311981,4406.26747496,3912.56523288
5078.2232649,4375.22331775,3939.60369239
4954.04663606,4260.05950875,3937.60084354
4875.93553082,4168.92988597,3946.61366337
4747.75320427,4019.71764648,3877.51537797
4681.65919215,3918.57377944,3825.44130781
4888.95404836,3978.65924501,3822.43703453
5213.41556242,4167.92846154,3936.59941911
5047.17910769,4101.83444942,3870.50540698
4649.61361051,3865.49828485,3566.07238144
4296.11078809,3728.30313847,3320.72339704
4011.70625107,3472.93990981,3177.5197041
3753.33874913,3240.60944295,3183.52825066
3465.92993883,2899.12371364,3022.29891805
