x1,x2,x3
10746.15496133,7762.52354109,7283.65705045
10527.24456561,7621.79542956,7086.24678289
10491.08525917,7638.40916495,7053.99659066
10605.4268498,7771.31904806,6998.29171318
10997.31554928,8045.93432126,7143.90621747
11924.75289543,8720.25652237,7510.38567459
12343.02811582,9155.14547815,7932.5700092
12442.71052816,9358.41941703,8231.61724621
12460.3015421,9382.85138084,8487.66422691
12350.84634424,9308.57821086,8558.02828268
12330.32349464,9265.57795456,8656.73341647
12269.7322244,9216.71402695,8678.23354462
12204.25456139,9121.91800737,8742.73392907
12189.59538311,9065.23585134,8675.30170896
12269.7322244,9120.94072882,8641.09695963
12492.55173433,9070.1222441,8598.09670333
12510.14274827,9060.34945857,8524.8008119
12465.18793486,9129.73623579,8463.23226311
12388.96020778,9266.55523311,8409.48194273
12140.73145549,9445.39720819,8315.66320171
11606.16008737,9048.62211595,8105.54831296
11646.22850802,8897.14394034,8215.98078937
11357.93133508,8453.45947758,8042.02520706
10878.08756589,7976.54754405,7602.24985851
