x1,x2,x3
18041.39053036,12072.95420618,10306.91798933
17702.69865316,11756.43858284,9983.34628521
17579.72124536,11665.7175443,9821.05642738
17583.75329152,11646.56532505,9815.00835815
17563.59306074,11679.82970585,9785.77602351
18138.15963814,11937.88065991,9864.40092357
19537.27965468,13335.99266492,10522.63245874
21337.58826387,14440.77331199,11365.33010559
21801.27357195,14659.51181602,11927.80054452
21694.42434878,14549.63855823,12510.43121423
21606.72734486,14676.64801218,12511.43922577
21551.2867102,14435.73325429,12531.59945656
21249.89125995,14326.86800805,12446.92648726
21069.45719442,14125.26570019,12350.15737948
21038.2088367,14092.00131939,12270.52446788
21062.40111364,13879.3108846,12274.55651404
21238.80313302,14028.49659242,12125.37080622
21246.86722533,13901.48713846,12053.80198693
21143.04203678,13868.22275767,11891.5121291
20824.51039037,13955.91976159,11730.23028282
20193.49516676,13829.91831917,11705.02999433
19614.89654321,13419.65762268,11484.27546723
19109.88276202,12905.57173764,11376.41823252
18598.82091159,12336.04521793,11114.3352323
