x1,x2,x3
17430.6051714,11516.70378072,10063.90165155
17150.71675012,11346.55578361,9667.22525592
16952.3785523,11307.2908612,9561.51200328
17004.73178218,11085.7964271,9574.60031075
17358.11608388,11219.69988044,9525.26745952
18358.86820889,11971.77416353,9616.88561181
20287.88337139,13485.99065852,10364.93272336
22552.1605637,15174.38232215,11605.30155437
22762.58027611,15698.92141383,12365.43018051
22535.0450847,15975.78945647,12824.52773484
22815.94029887,15788.52598036,13015.81838248
22668.94853805,15581.1266466,13287.6524607
22414.22993883,15347.55069791,13053.06971913
22312.54385771,14992.15281045,13018.83876113
22013.52637167,14746.49534717,12885.94210066
21887.67726138,14287.39779284,12949.37005225
22089.03583784,14121.27696725,12816.47339178
22245.0887346,14637.76171588,12729.8892039
21951.10521296,14463.58654724,12548.66648509
21014.78783242,14182.69133308,12411.7426531
19974.77078499,13819.23910256,12040.23607952
19347.53881932,12795.33074125,11847.938639
18329.6712153,12074.46703752,11669.73629883
17888.69593285,11669.73629883,11206.61157297
