x1,x2,x3
0.0,-0.0,0.0
0.0,-0.0,0.0
0.0,-0.0,6.41e-6
0.0,-0.0,0.00730737
0.0,7.524e-5,0.10565015
0.0,0.04759426,0.21576647
0.0,0.16386803,0.36839537
0.00028184,0.30122338,0.54370883
0.02343479,0.43306283,0.69050983
0.08159223,0.52395897,0.79342213
0.11905289,0.57122259,0.85667263
0.14612543,0.5161905,0.85505341
0.15068445,0.4714862,0.76773607
0.11448347,0.38414202,0.6921168
0.06279776,0.29533458,0.58159626
0.0072775,0.21766886,0.47736954
3.1e-6,0.12231152,0.3496729
0.0,0.01853138,0.22009662
0.0,2.469e-5,0.11893122
0.0,-0.0,0.01799734
0.0,-0.0,1.76e-6
0.0,-0.0,0.0
0.0,-0.0,0.0
0.0,-0.0,0.0
