x1,x2,x3
0.0,-0.0,0.0
0.0,-0.0,0.0
0.0,-0.0,0.0
0.0,-0.0,0.0
0.0,-0.0,0.01619222
0.0,0.00021114,0.16324006
0.0,0.09408891,0.28982349
0.0,0.22119035,0.39346669
0.0002977,0.34323669,0.53048037
0.03241983,0.55155049,0.68309828
0.05036047,0.51541368,0.80850991
0.08270165,0.46113961,0.82183476
0.19638659,0.46148154,0.85727531
0.15692368,0.38527877,0.82163624
0.14120003,0.22339828,0.72891123
0.04951205,0.17613414,0.74743001
0.00016159,0.10263707,0.60716898
0.0,0.05714541,0.47330196
0.0,0.00978922,0.32519776
0.0,0.00049772,0.19232649
0.0,-0.0,0.0168676
0.0,-0.0,0.00412856
0.0,-0.0,5.797e-5
0.0,-0.0,0.0
