x1,x2,x3
0.0,-0.0,7.888e-5
0.0,-0.0,0.00060888
0.0,-0.0,0.00452289
0.0,-0.0,0.01533027
0.0,2.26e-5,0.06112245
0.0,0.00257836,0.10960495
0.0,0.0841867,0.17292883
0.0,0.18085779,0.26196294
0.0,0.28064168,0.35752142
0.00184322,0.40659839,0.47897631
0.06267231,0.49416477,0.58841087
0.18415254,0.56076364,0.69907358
0.18149275,0.56481909,0.629461
0.16173791,0.48632046,0.51759978
0.08235669,0.35182232,0.49891072
0.00576981,0.25310364,0.46187848
2.7e-7,0.15400754,0.41554838
0.0,0.08041171,0.29200636
0.0,0.00469578,0.21317356
0.0,-0.0,0.16930435
0.0,-0.0,0.11006697
0.0,-0.0,0.00557777
0.0,-0.0,0.00025475
0.0,-0.0,2.703e-5
