x1,x2,x3
0.0,-0.0,0.0
0.0,-0.0,0.00023625
0.0,-0.0,0.01013731
0.0,-0.0,0.05895244
0.0,1.97e-6,0.11620027
0.0,0.00873358,0.16169647
0.0,0.12370725,0.2334104
0.0,0.22100919,0.27643722
0.00014996,0.31967248,0.30147656
0.00724845,0.42241996,0.38201195
0.04632294,0.52150852,0.5262842
0.11109196,0.53287459,0.55045448
0.11336999,0.53030154,0.58360508
0.07609431,0.50178354,0.59311538
0.01710757,0.41719369,0.56253319
0.00121459,0.34558603,0.50577566
0.0,0.2301744,0.40251723
0.0,0.11942412,0.28445887
0.0,0.00187717,0.20010757
0.0,-0.0,0.13958738
0.0,-0.0,0.0836103
0.0,-0.0,0.00518444
0.0,-0.0,1.879e-5
0.0,-0.0,0.0
