x1,x2,x3
0.46466553,0.36557117,0.21526619
0.47285617,0.34010556,0.20464853
0.4670304,0.33942315,0.19469179
0.46011434,0.34903098,0.18797339
0.45882283,0.36595329,0.16913417
0.46565477,0.39410328,0.13051778
0.47412302,0.42057494,0.10344645
0.49071157,0.44732079,0.1039685
0.50694829,0.49287411,0.11740127
0.49526746,0.5199374,0.13737368
0.4239445,0.49110573,0.1271959
0.39162077,0.504661,0.15959762
0.36359207,0.51522181,0.1955962
0.35758343,0.51942623,0.24115288
0.37513361,0.51075633,0.27481942
0.41634304,0.50520011,0.29361268
0.46247914,0.49696187,0.28535752
0.4879921,0.49212177,0.28748376
0.49403169,0.49571074,0.27782263
0.49555257,0.50413359,0.27741424
0.48912451,0.51185311,0.26633593
0.47581538,0.51570931,0.25163866
0.4332631,0.53601626,0.25155711
0.42717358,0.53320309,0.23029336
