x1,x2,x3
0.40747263,0.54344001,0.28595398
0.42270708,0.53733852,0.2908283
0.4399417,0.54173297,0.29698153
0.44967789,0.54538095,0.3143389
0.46106021,0.54234052,0.3202302
0.46210238,0.53099314,0.34008898
0.46696184,0.51903898,0.34753063
0.47845548,0.49941726,0.34410603
0.48134611,0.48920425,0.33757535
0.47253318,0.51075909,0.32785715
0.47166173,0.52091119,0.30139734
0.4742985,0.50822383,0.27211245
0.48138206,0.51283281,0.24649683
0.46329539,0.56263259,0.24857544
0.48638438,0.58693488,0.26525111
0.51811786,0.62235574,0.29184876
0.53920959,0.64583134,0.30324213
0.54150913,0.63842804,0.29957011
0.53911425,0.63174053,0.29076198
0.53992146,0.63521321,0.27516777
0.54857554,0.62947872,0.26876573
0.55528783,0.62669194,0.25217279
0.51265044,0.612223,0.2355995
0.54573383,0.56301652,0.20290646
