x1,x2,x3
0.31215164,0.45815975,0.37346179
0.3195572,0.46118778,0.32267936
0.329368,0.47479771,0.27236015
0.3416864,0.50412858,0.22975716
0.34989502,0.53413463,0.20145106
0.34865165,0.56801153,0.18405479
0.35306338,0.58712959,0.18425372
0.36197014,0.60993087,0.1908116
0.37509827,0.61508672,0.20089321
0.38578392,0.61324924,0.20629906
0.38420786,0.54302146,0.2078436
0.40026496,0.5496493,0.22000407
0.40213774,0.5908717,0.22241867
0.40929421,0.6120188,0.20521651
0.41161147,0.6269664,0.18903463
0.40542718,0.63457086,0.17502536
0.40156604,0.6170715,0.16300913
0.39355913,0.60201267,0.15118432
0.38316263,0.58138033,0.15029524
0.3789912,0.55707461,0.15288965
0.37096981,0.53534784,0.16130245
0.36206016,0.52471348,0.15225036
0.32140724,0.51408322,0.15278714
0.31821212,0.49861216,0.10608449
