x1,x2,x3
0.42916498,0.51080413,0.43555079
0.42855198,0.52035795,0.4547914
0.42781253,0.532521,0.45150438
0.42584137,0.54158834,0.43825488
0.41581265,0.54405831,0.41749074
0.38651439,0.55225485,0.37546602
0.3579881,0.56354373,0.34477018
0.35960109,0.56055701,0.34833384
0.32889267,0.57327336,0.36458616
0.31754541,0.61072546,0.378039
0.30462981,0.59334033,0.36463439
0.3124598,0.62895626,0.34926618
0.31294068,0.6294794,0.34647655
0.3101198,0.61529966,0.34339382
0.30811366,0.6033623,0.34149287
0.30822108,0.57125156,0.33763888
0.30288302,0.52555349,0.31816174
0.32283525,0.50441309,0.28645732
0.33553963,0.4904928,0.263656
0.34247498,0.47541696,0.24164319
0.34756324,0.46645055,0.22582496
0.35932095,0.44203639,0.20840895
0.36741731,0.38920537,0.16976412
0.40101056,0.35131143,0.19040139
