x1,x2,x3
0.34511163,0.49438392,0.27187644
0.34307984,0.50786389,0.25241623
0.34587511,0.51131755,0.2236367
0.34912472,0.51640352,0.20725932
0.35058529,0.53015394,0.19263824
0.34817342,0.53098558,0.18719388
0.347567,0.53077945,0.17966285
0.35480832,0.52740327,0.17796193
0.36247359,0.54400916,0.18791757
0.36726651,0.5384035,0.21043461
0.3754859,0.49248628,0.25177165
0.38039778,0.52176454,0.27838203
0.36485723,0.54450725,0.28898412
0.34231349,0.56252698,0.29270145
0.32271524,0.57577467,0.29862024
0.31136211,0.56779846,0.30095818
0.31086975,0.54919096,0.29616743
0.30078112,0.5602473,0.28093129
0.29326315,0.57993426,0.26393831
0.28533036,0.59122702,0.25551115
0.27349011,0.60080869,0.25875206
0.26626964,0.61120823,0.25157728
0.25510728,0.62226863,0.23231306
0.26017591,0.60906519,0.20043734
