x1,x2,x3,x4
2723.87744758,2867.66880666,2341.45362023,2241.51352669
2640.254104,2819.73835363,2285.36479222,2181.34551118
2607.62060407,2802.40180679,2259.8698704,2140.55363627
2611.69979156,2829.93632236,2296.58255782,2113.0191207
2676.96679142,2997.18300952,2407.74041697,2161.9693706
2808.52058803,3543.79413341,2795.26322868,2510.73990114
3014.51955636,4061.85094486,3182.7860404,2925.79722842
3186.86522789,4393.28492856,3512.18043035,3324.53780573
3393.88399309,4487.10624086,3658.01138318,3539.71494592
3547.8733209,4482.0072565,3628.43727386,3595.80377393
3609.06113328,4451.41335031,3646.79361758,3601.92255517
3559.0910865,4373.90878797,3612.1205239,3561.13068025
3597.84336768,4422.85903787,3672.2885394,3616.19971139
3572.34844585,4405.52249103,3609.06113328,3581.52661771
3575.40783647,4452.43314719,3555.01189901,3528.49718032
3671.26874253,4545.23466262,3469.34896169,3462.21038358
3856.8717734,4497.30420959,3359.21089941,3352.0723213
3920.09917952,4408.58188165,3313.32004013,3287.82511831
3876.24791398,4274.9884913,3273.54796209,3200.12258723
3783.44639855,4139.3555072,3378.58704,3130.77639988
3601.92255517,3915.00019515,3283.74593081,3038.99468131
3302.10227453,3582.54641458,2958.43072835,2931.91600966
3035.93529069,3240.91446215,2649.43227586,2712.65968198
2865.62921292,3006.36118138,2441.39371378,2479.12619808
