x1,x2,x3,x4
3380.61160232,3465.84573445,2956.49477615,2766.51508403
3238.89702118,3364.18092624,2862.01838872,2650.47343426
3185.49732393,3335.42724311,2801.43027069,2580.64306094
3198.84724824,3365.2078435,2802.45718795,2578.58922643
3213.22408981,3436.06513407,2873.31447852,2617.61208211
3246.08544196,3687.65986146,3121.82845414,2678.20020013
3353.9117537,4390.07126364,3716.41354459,3021.19056319
3658.90617833,5080.15965877,4213.44149584,3424.76904427
3971.08902374,5281.43544068,4426.01336755,3760.57098654
4226.79142015,5185.932136,4441.41712637,3943.36225787
4347.9676562,5176.68988071,4518.43592047,4012.16571393
4317.16013856,5152.04386659,4486.60148558,4039.8924798
4271.97577936,5051.40597564,4368.50600129,4037.8386453
4243.22209623,5108.9133419,4275.05653112,4047.08090059
4273.00269661,4996.97936114,4122.04586018,3976.22361002
4283.27186916,5014.43695447,4018.32721746,3922.82391277
4427.04028481,5268.08551637,4079.94225274,3919.74316101
5009.3023682,5558.70309944,4274.02961387,4036.81172804
5027.78687878,5326.61979988,4206.25307506,3969.03518923
4710.46944709,5002.11394741,3963.90060296,3656.85234382
4410.60960873,4682.74268122,3823.21293907,3405.25761643
4163.12255036,4409.58269148,3561.34903914,3258.40844901
3918.71624376,4006.0042104,3323.10423606,3264.56995254
3685.60602695,3657.87926107,2972.92545222,3099.23627454
