x1,x2,x3,x4
11308.59415417,10057.69606197,7866.89116891,7381.58628753
11169.93561663,9913.09501568,7724.27095887,7181.52182623
11118.43387412,9746.70477064,7741.108067,7148.8380281
11108.52969287,9788.3023319,7875.80493203,7092.38419496
11243.2265579,10135.93909387,8154.11242523,7239.95649562
11504.69694297,11023.3537341,8837.50093166,7611.36329259
11488.85025297,11549.26575861,9278.23699739,8039.2239227
11575.01662986,11816.67865243,9484.24396745,8342.29186903
11819.6499068,11726.55060303,9509.00442058,8601.78141785
12066.26401999,11586.90164737,9433.73264306,8673.09152286
12106.87116313,11608.69084612,9390.15424555,8773.12375351
11965.24137121,11641.37464425,9340.63333929,8794.91295227
11832.52534243,11582.93997486,9244.56278114,8860.28054854
11711.69433115,11597.79624674,9187.11852987,8791.94169789
11755.27272866,11786.96610867,9243.57236301,8757.27706351
11885.01750307,11867.18997681,9192.0706205,8713.698666
12410.92952758,11902.84502932,9182.16643925,8639.41730661
12666.45740389,11908.78753807,9252.48612614,8577.02096471
12664.47656764,12046.45565748,9391.14466367,8522.54796782
12421.82412696,11907.79711995,9572.3911806,8427.4678278
11998.91558747,11391.78927669,9170.28142174,8214.52793087
12284.15600755,11428.43474732,9016.76661233,8326.44517902
12251.47220941,11161.02185351,8567.11678346,8150.15075273
11900.86419307,10700.47742526,8083.79273834,7704.46259636
