x1,x2,x3,x4
19392.98129008,17729.98423278,11955.41161783,10206.56957438
19093.52203606,17347.67458515,11641.97759863,9886.14817258
19032.63198775,17131.06572474,11552.13982243,9725.43837293
18973.73833446,17150.0314775,11533.17406967,9719.44918785
19013.66623499,17355.66016526,11566.11458761,9690.50145996
19196.33637994,18074.3623749,11821.65315104,9768.360866
19556.68568227,19556.68568227,13206.15310211,10420.18384224
19826.19901089,21165.78007385,14300.17757678,11254.67696344
20380.19863082,21639.92389271,14516.78643718,11811.67117591
20739.54973564,21454.25915522,14407.98290823,12388.62933864
20608.78586138,21400.3564895,14533.75579491,12389.62753616
20566.86156582,21190.73501169,14295.18658921,12409.59148642
20233.46359635,21019.04503939,14187.38125777,12325.7428953
20076.74658675,21032.02160706,13987.74175509,12229.91593402
20127.65465993,21197.72239428,13954.80123715,12151.05833046
20392.17700098,21533.11675878,13744.18156182,12155.05112051
20878.29919,21953.35791192,13891.9147938,12007.31788853
21458.25194528,21761.70398935,13766.14190712,11936.44586508
21541.10233889,21601.9923872,13733.20138918,11775.73606542
21558.07169662,21391.37271188,13820.04457284,11616.02446328
21443.27898258,21109.8810131,13695.26988367,11591.06952545
21019.04503939,20657.69753954,13289.00349572,11372.46427002
20511.96070259,20033.82409367,12779.92276389,11265.65713608
19967.94305779,19162.39766449,12215.94116883,11006.1257826
