x1,x2,x3,x4
18310.09275098,16741.75905479,11619.28053802,10153.53861859
18088.6570348,16290.76154112,11447.61706998,9753.32911322
17763.61378171,16157.69695938,11408.00242351,9646.6742958
17799.16538752,16334.43922825,11184.53518701,9659.87917795
17946.45061157,16581.26894857,11319.63128908,9610.10692982
18049.04238833,17654.92744395,12078.40413302,9702.54110492
18544.7333493,19895.69436999,13606.10742257,10457.2509082
19095.27535924,21730.15722965,15309.53722083,11708.66743262
19779.89771107,22148.65041801,15838.74826728,12475.5663579
20498.04014838,21840.87508773,16118.08231291,12938.75299356
20911.45453591,21991.20759229,15929.15092205,13131.74742509
21123.74841059,21984.09727113,15719.90432787,13406.00266989
20848.47740562,21952.60870599,15484.24796937,13169.33055123
20561.01727867,21963.78206781,15125.6846308,13134.79470558
20500.07166871,22062.31080391,14877.83915031,13000.71436368
20777.37419401,22630.12073666,14414.65251465,13064.70725414
21688.51106284,22897.2656603,14247.05208727,12930.62691223
22933.83302627,23067.91336817,14768.13705239,12843.27153796
22926.72270511,22433.06326447,14592.41054369,12660.4347081
22703.2554686,21481.295989,14309.01345739,12522.29132553
22087.70480805,21080.07072345,13942.3240375,12147.4758243
21425.42917987,20053.1371957,12909.29594875,11953.46563261
20575.23792099,18999.79390364,12182.01166995,11773.67608324
19890.61556916,18034.82174601,11773.67608324,11306.42640692
