x1,x2,x3,x4
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,6.09e-6
0.0,0.0,-0.0,0.00694602
0.0,0.0,7.152e-5,0.10042577
0.0,0.0,0.04524074,0.20509687
0.0,0.0,0.1557648,0.35017831
0.00516027,0.00086066,0.28632796,0.51682257
0.06689742,0.06517577,0.41164799,0.6563643
0.12636935,0.13556677,0.49804933,0.75418761
0.19724254,0.18664999,0.54297578,0.8143104
0.22119089,0.19330441,0.49066502,0.81277124
0.20135847,0.16380555,0.44817133,0.72977173
0.20126164,0.12118526,0.3651463,0.65789181
0.13838536,0.06732241,0.28073036,0.55283648
0.07587387,0.0021287,0.20690519,0.45376374
0.00292849,0.0,0.11626325,0.33238166
0.0,0.0,0.01761501,0.2092129
0.0,0.0,2.347e-5,0.1130501
0.0,0.0,-0.0,0.01710738
0.0,0.0,-0.0,1.68e-6
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
