x1,x2,x3,x4
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.01404748
0.0,0.0,0.00018317,0.14161804
0.0,0.0,0.08162633,0.25143481
4.9e-7,0.0,0.19189249,0.34134991
0.02129538,0.0006077,0.29777314,0.46021539
0.18829392,0.09881907,0.47849466,0.59261823
0.30950847,0.2521693,0.44714436,0.70141842
0.39576962,0.33098564,0.40005919,0.71297832
0.41023084,0.29097926,0.40035582,0.74372457
0.35598944,0.24314872,0.33424652,0.71280609
0.26449698,0.14800519,0.19380797,0.63236301
0.16820331,0.00910682,0.15280422,0.64842888
0.03610904,0.0,0.08904224,0.52674618
5.861e-5,0.0,0.04957619,0.41061057
0.0,0.0,0.00849259,0.28212357
0.0,0.0,0.0004318,0.16685181
0.0,0.0,-0.0,0.0146334
0.0,0.0,-0.0,0.00358171
0.0,0.0,-0.0,5.029e-5
0.0,0.0,-0.0,0.0
