x1,x2,x3,x4
0.0,0.0,-0.0,6.673e-5
0.0,0.0,-0.0,0.00051513
0.0,0.0,-0.0,0.00382647
0.0,0.0,-0.0,0.01296976
0.0,0.0,1.912e-5,0.05171099
0.0,0.0,0.00218135,0.0927283
0.0,0.0,0.07122388,0.14630175
0.0,0.0,0.15300983,0.22162664
0.00082876,0.0,0.23742929,0.30247131
0.14873818,0.00119623,0.34399155,0.40522492
0.36230477,0.05301329,0.41807471,0.49780908
0.46405943,0.1524184,0.47441888,0.59143226
0.46527971,0.1869278,0.47784989,0.53253843
0.45540111,0.12018647,0.41143825,0.43790127
0.35999177,0.02497221,0.29764974,0.42208989
0.19963745,0.00028262,0.21413148,0.39075978
0.0102914,0.0,0.1302939,0.35156344
0.0,0.0,0.06803014,0.24704407
0.0,0.0,0.00397274,0.18034971
0.0,0.0,-0.0,0.14323536
0.0,0.0,-0.0,0.09311918
0.0,0.0,-0.0,0.00471892
0.0,0.0,-0.0,0.00021553
0.0,0.0,-0.0,2.287e-5
