x1,x2,x3,x4
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.00021635
0.0,0.0,-0.0,0.00928355
0.0,0.0,-0.0,0.05398752
0.0,0.0,1.8e-6,0.106414
0.0,0.0,0.00799805,0.14807856
0.0,0.0,0.11328875,0.21375281
6.36e-6,0.0,0.20239602,0.25315595
0.0094971,0.00020442,0.29274998,0.27608651
0.10235228,0.01179339,0.38684417,0.34983928
0.24750381,0.03231507,0.47758759,0.48196106
0.28573507,0.07426539,0.48799642,0.50409575
0.2924318,0.07793884,0.48564007,0.53445444
0.24954923,0.03615596,0.45952383,0.54316379
0.16343283,0.01158457,0.38205805,0.5151572
0.05541217,0.00015855,0.31648112,0.46317973
0.00112756,0.0,0.21078934,0.36861762
0.0,0.0,0.10936634,0.26050203
0.0,0.0,0.00171908,0.18325471
0.0,0.0,-0.0,0.12783147
0.0,0.0,-0.0,0.07656872
0.0,0.0,-0.0,0.00474781
0.0,0.0,-0.0,1.721e-5
0.0,0.0,-0.0,0.0
