x1,x2,x3,x4
0.32430034,0.35718285,0.30290598,0.17836586
0.36298989,0.34991716,0.28180561,0.16956825
0.40667759,0.32572288,0.28124018,0.16131826
0.45404266,0.32397015,0.28920106,0.15575152
0.49888457,0.33175182,0.30322259,0.14014166
0.53626125,0.36133634,0.3265472,0.10814479
0.55600698,0.38113688,0.34848116,0.08571395
0.57358246,0.39169653,0.37064231,0.08614651
0.58524609,0.37137657,0.40838701,0.09727667
0.60393585,0.34388276,0.43081118,0.11382546
0.67783084,0.35363389,0.40692175,0.10539233
0.70488879,0.37065406,0.41815341,0.13223984
0.6834903,0.40523548,0.42690392,0.16206764
0.66967767,0.4447939,0.43038763,0.19981513
0.6537801,0.45059612,0.42320391,0.22771064
0.65884823,0.47978042,0.41860012,0.24328242
0.68033969,0.48702746,0.41177405,0.23644233
0.70204771,0.49748768,0.40776362,0.2382041
0.71455382,0.4958347,0.41073739,0.23019905
0.71863841,0.47936149,0.41771642,0.22986067
0.71443166,0.47450944,0.42411268,0.22068137
0.70894958,0.47577453,0.42730786,0.20850346
0.66933557,0.45345704,0.44413385,0.20843589
0.67846113,0.49146927,0.44180291,0.19081712
