x1,x2,x3,x4
0.65405209,0.30323285,0.53083325,0.2793204
0.67319941,0.28554796,0.5248733,0.28408164
0.68121835,0.27425369,0.52916581,0.29009213
0.69728639,0.26062731,0.53272916,0.30704684
0.71328712,0.27686142,0.52975927,0.31280148
0.72762503,0.29331218,0.51867512,0.33219957
0.74201649,0.30005406,0.50699828,0.33946859
0.7567625,0.29463316,0.48783174,0.33612343
0.75729058,0.29160765,0.47785566,0.32974425
0.75001709,0.28315153,0.49891046,0.3202515
0.72305305,0.24852375,0.50882705,0.2944055
0.69255947,0.22006068,0.49643402,0.26579996
0.65407987,0.18329113,0.50093608,0.24077858
0.64046566,0.17870729,0.5495806,0.24280896
0.60505924,0.19089847,0.57331913,0.25909779
0.59612961,0.22760583,0.60791828,0.28507843
0.58208767,0.26207865,0.6308493,0.2962075
0.58370013,0.28976805,0.62361774,0.29262066
0.57275082,0.28948324,0.61708536,0.28401686
0.54353569,0.29560279,0.62047749,0.26878441
0.49626117,0.2968152,0.61487603,0.26253089
0.45712525,0.28754902,0.6121539,0.24632286
0.37804325,0.23108923,0.59802061,0.23013405
0.33834352,0.22667104,0.54995562,0.19819942
