x1,x2,x3,x4
0.54643,0.2853789,0.45603382,0.37172887
0.51842813,0.29520612,0.45904781,0.32118208
0.50848027,0.29703907,0.47259459,0.27109636
0.4919472,0.29486147,0.50178936,0.22869106
0.48745307,0.29123006,0.53165617,0.2005163
0.47648952,0.28376446,0.56537588,0.18320075
0.48161539,0.26541912,0.58440523,0.18339875
0.46909277,0.23826959,0.6071007,0.18992621
0.45930292,0.20571585,0.61223263,0.19996104
0.44685995,0.19639194,0.61040368,0.2053418
0.44532017,0.1694119,0.54050177,0.20687918
0.4390512,0.1453663,0.54709885,0.21898322
0.42710588,0.14550308,0.58812997,0.22138662
0.4319284,0.13788218,0.60917895,0.20426428
0.45989642,0.14667687,0.62405719,0.18815748
0.47136984,0.16426585,0.63162636,0.17421322
0.45004063,0.17484629,0.6142082,0.16225275
0.43579462,0.17202088,0.59921925,0.15048281
0.42636472,0.1770255,0.57868265,0.14959785
0.41264041,0.16657043,0.5544897,0.15218022
0.39893527,0.16315171,0.53286375,0.16055398
0.38666628,0.15588831,0.52227874,0.15154389
0.39923231,0.13831355,0.5116978,0.15207819
0.41408282,0.1372835,0.49629853,0.10559225
