x1,x2,x3,x4
0.44300169,0.23551158,0.46160113,0.39359654
0.44772344,0.25202909,0.47023468,0.4109838
0.46366483,0.26836211,0.48122613,0.4080134
0.45854373,0.26255555,0.48942006,0.39604016
0.46043566,0.26712474,0.49165211,0.37727611
0.47219522,0.2715456,0.49905912,0.33929941
0.47274495,0.2737912,0.5092606,0.31156033
0.48067376,0.27957358,0.50656158,0.31478072
0.47065068,0.2832331,0.51805303,0.32946754
0.47740455,0.28443221,0.55189757,0.34162455
0.46926449,0.30205054,0.53618706,0.32951113
0.48150439,0.32718051,0.5683723,0.31562325
0.46721784,0.32022713,0.56884505,0.31310233
0.4635541,0.31584346,0.55603116,0.31031654
0.47102522,0.31560978,0.54524367,0.30859871
0.47134949,0.31380709,0.51622598,0.30511595
0.47376486,0.31262867,0.47492976,0.28751494
0.47398899,0.32212317,0.4558257,0.25886443
0.48230874,0.31911204,0.44324628,0.23825944
0.48312756,0.33239918,0.42962261,0.218367
0.49495078,0.33822452,0.42151989,0.20407246
0.50472484,0.34174089,0.39945741,0.18833404
0.51895842,0.36117244,0.35171531,0.15341166
0.52989776,0.37050852,0.3174715,0.17206105
