x1,x2,x3,x4
0.5513039,0.42791636,0.44592694,0.2452285
0.53109864,0.41724979,0.45808568,0.22767568
0.51566666,0.40624239,0.46120082,0.20171697
0.51065792,0.39901971,0.4657883,0.18694482
0.5138501,0.38967091,0.47819097,0.17375683
0.50750101,0.37662517,0.4789411,0.1688461
0.50179929,0.36142276,0.47875517,0.16205322
0.49528583,0.34601927,0.47570991,0.16051901
0.490144,0.32611114,0.49068817,0.16949885
0.47683833,0.30057506,0.48563195,0.18980889
0.4614743,0.2551603,0.4442153,0.22709428
0.44452731,0.24351849,0.47062385,0.25109645
0.42599112,0.23360266,0.49113744,0.26065938
0.41404213,0.2363237,0.50739097,0.26401235
0.40115436,0.23336704,0.51934019,0.26935101
0.39089369,0.24374069,0.51214576,0.2714598
0.38166006,0.24387731,0.49536208,0.26713862
0.37651833,0.24259131,0.50533474,0.25339585
0.36857376,0.24767543,0.52309208,0.23806843
0.36057173,0.24198637,0.53327798,0.23046725
0.35240289,0.24287429,0.5419205,0.23339051
0.33322401,0.23427026,0.55130073,0.22691896
0.31256693,0.19955461,0.56127705,0.20954292
0.30275581,0.21288573,0.54936775,0.1807915
