x1,x2
3200.75,2794.78571429
3111.08333333,2698.5
3070.83333333,2656.82142857
3086.375,2664.25
3167.45833333,2703.39285714
3399.16666667,2887.10714286
4000.33333333,3391.75
4598.375,3907.75
4811.83333333,4170.17857143
4836.91666667,4258.78571429
4911.5,4342.67857143
4885.20833333,4358.64285714
4799.25,4299.0
4802.54166667,4318.42857143
4762.0,4247.85714286
4681.33333333,4131.21428571
4810.45833333,4096.89285714
5164.83333333,4296.17857143
5043.70833333,4219.67857143
4740.66666667,4018.60714286
4448.41666667,3841.67857143
4175.08333333,3650.46428571
3846.54166667,3421.89285714
3552.79166667,3142.82142857
3361.29166667,2948.64285714
3263.16666667,2838.89285714
3211.04166667,2786.14285714
3223.66666667,2790.25
3299.0,2836.89285714
3539.45833333,3008.67857143
4128.79166667,3502.0
4723.58333333,4020.53571429
4916.08333333,4264.42857143
4940.25,4314.0
5015.41666667,4407.71428571
4970.83333333,4395.42857143
4873.08333333,4378.25
4974.08333333,4368.35714286
4812.83333333,4284.89285714
4703.70833333,4160.5
4822.75,4145.92857143
5160.95833333,4342.14285714
5063.41666667,4251.85714286
4786.04166667,4055.5
4490.54166667,3880.35714286
4200.875,3708.10714286
3881.125,3479.28571429
3577.125,3194.85714286
3387.41666667,2976.42857143
3271.875,2867.60714286
3222.875,2819.32142857
3241.70833333,2825.03571429
3323.04166667,2867.39285714
3573.33333333,3051.75
4161.125,3562.85714286
4752.83333333,4087.39285714
4948.375,4323.03571429
5043.75,4379.21428571
5018.33333333,4477.71428571
4990.95833333,4488.14285714
4903.375,4422.28571429
4892.91666667,4439.03571429
4809.95833333,4359.89285714
4734.54166667,4230.57142857
4842.58333333,4195.78571429
5171.625,4359.32142857
5082.29166667,4258.21428571
4795.0,4058.32142857
4512.625,3890.96428571
4229.125,3718.46428571
3894.125,3490.5
3578.83333333,3209.10714286
3374.79166667,2989.92857143
3265.875,2860.85714286
3217.41666667,2805.42857143
3226.25,2805.17857143
3292.54166667,2841.21428571
3533.20833333,3021.10714286
4126.91666667,3519.5
4727.91666667,4038.35714286
4926.29166667,4293.75
5044.54166667,4366.35714286
5006.58333333,4452.53571429
4970.5,4437.60714286
4882.70833333,4359.03571429
4870.58333333,4393.21428571
4797.66666667,4326.07142857
4719.79166667,4203.32142857
4828.16666667,4160.82142857
5146.91666667,4301.67857143
5056.45833333,4231.5
4779.29166667,4061.32142857
4499.16666667,3884.10714286
4206.5,3702.78571429
3875.625,3470.28571429
3567.70833333,3192.32142857
3367.125,2985.75
3258.08333333,2872.25
3205.58333333,2820.35714286
3212.70833333,2807.89285714
3284.20833333,2842.21428571
3522.70833333,3009.67857143
4107.0,3466.75
4690.54166667,3962.39285714
4903.33333333,4219.25
4925.79166667,4284.28571429
4964.125,4355.07142857
4901.33333333,4325.46428571
4757.45833333,4210.42857143
4664.20833333,4124.82142857
4530.70833333,3978.17857143
4454.58333333,3862.64285714
4598.29166667,3865.67857143
4886.125,4001.17857143
4823.04166667,3962.5
4514.20833333,3755.42857143
4231.08333333,3566.32142857
3968.79166667,3426.32142857
3709.91666667,3259.89285714
3478.58333333,3033.89285714
3277.66666667,2827.35714286
3139.58333333,2695.64285714
3076.54166667,2630.07142857
3059.16666667,2603.67857143
3081.04166667,2590.46428571
3161.20833333,2611.07142857
3347.16666667,2745.92857143
3644.25,3011.25
3945.66666667,3301.71428571
4131.66666667,3494.57142857
4227.29166667,3581.60714286
4204.375,3574.78571429
4143.70833333,3541.42857143
4095.16666667,3494.42857143
4063.33333333,3446.25
4069.33333333,3408.78571429
4245.95833333,3456.32142857
4592.33333333,3647.14285714
4580.29166667,3661.25
4296.125,3496.25
4045.41666667,3357.10714286
3829.375,3250.39285714
3615.33333333,3109.60714286
3406.66666667,2916.21428571
3221.83333333,2737.07142857
3100.25,2615.89285714
3041.29166667,2549.25
3024.04166667,2520.75
3038.41666667,2503.35714286
3099.16666667,2514.07142857
3259.5,2618.39285714
3497.0,2841.64285714
3777.58333333,3128.21428571
3974.0,3326.53571429
4083.25,3429.57142857
4092.41666667,3453.28571429
4051.83333333,3440.17857143
4003.83333333,3418.46428571
3990.29166667,3394.32142857
4017.625,3374.10714286
4209.75,3449.10714286
4626.25,3719.89285714
4609.45833333,3759.07142857
4353.83333333,3613.35714286
4096.75,3470.10714286
3856.70833333,3326.89285714
3593.625,3145.64285714
3359.0,2934.46428571
