x1,x2
16672.25,11801.21428571
16352.08333333,11517.0
16252.20833333,11394.46428571
16257.54166667,11382.67857143
16396.45833333,11415.64285714
16973.58333333,11701.85714286
18355.33333333,12711.28571429
19811.04166667,13812.35714286
20270.16666667,14200.32142857
20174.08333333,14197.03571429
20050.95833333,14181.10714286
19893.41666667,14060.42857143
19697.20833333,13982.78571429
19576.33333333,13909.25
19579.125,13862.14285714
19666.29166667,13817.0
19841.04166667,13800.89285714
19829.41666667,13710.89285714
19721.83333333,13609.17857143
19564.5,13628.39285714
19297.125,13633.46428571
18876.5,13517.67857143
18242.25,13166.10714286
17487.45833333,12564.67857143
16936.41666667,12042.21428571
16603.45833333,11723.57142857
16509.25,11564.71428571
16517.45833333,11546.82142857
16691.75,11560.0
17245.5,11836.25
18583.54166667,12867.21428571
20022.25,13963.71428571
20342.79166667,14298.46428571
20188.20833333,14287.14285714
20042.20833333,14260.0
19846.58333333,14275.35714286
19654.16666667,14160.60714286
19555.04166667,14116.57142857
19547.29166667,14027.92857143
19693.45833333,13927.71428571
19907.20833333,13951.42857143
19921.66666667,13884.78571429
19825.375,13806.25
19686.0,13780.89285714
19479.91666667,13749.67857143
19047.70833333,13609.0
18385.83333333,13269.42857143
17600.04166667,12662.67857143
17075.20833333,12063.46428571
16751.58333333,11701.14285714
16605.20833333,11546.57142857
16603.375,11479.35714286
16709.45833333,11466.39285714
17201.375,11768.46428571
18572.5,12912.39285714
20034.91666667,14075.46428571
20349.91666667,14365.60714286
20188.125,14298.32142857
20006.125,14222.89285714
19805.625,14100.67857143
19624.875,13991.89285714
19482.25,13900.53571429
19572.375,13822.67857143
19657.625,13748.03571429
19836.625,13743.85714286
19866.66666667,13672.17857143
19721.58333333,13658.85714286
19567.29166667,13662.71428571
19292.875,13630.96428571
18853.20833333,13498.32142857
18229.75,13138.78571429
17487.95833333,12463.32142857
16986.33333333,11960.92857143
16615.75,11548.07142857
16456.45833333,11378.64285714
16445.125,11331.10714286
16580.08333333,11377.53571429
17074.45833333,11704.5
18397.16666667,12777.53571429
19841.70833333,13868.32142857
20186.95833333,14278.53571429
20028.75,14283.5
19836.66666667,14202.32142857
19598.625,14032.39285714
19452.5,13888.5
19350.04166667,13840.17857143
19356.625,13786.71428571
19431.83333333,13762.0
19685.66666667,13778.64285714
19729.79166667,13755.64285714
19656.25,13678.21428571
19503.04166667,13674.32142857
19241.08333333,13613.53571429
18849.625,13445.10714286
18254.45833333,13078.32142857
17498.45833333,12426.89285714
16963.66666667,11983.35714286
16657.54166667,11597.10714286
16514.20833333,11436.57142857
16534.25,11395.71428571
16661.91666667,11419.35714286
17184.58333333,11738.82142857
18490.25,12769.07142857
19929.79166667,13931.32142857
20371.54166667,14310.17857143
20297.25,14335.35714286
20155.04166667,14288.35714286
19894.70833333,14090.67857143
19680.0,13876.32142857
19511.79166667,13745.64285714
19477.70833333,13580.57142857
19477.375,13424.67857143
19601.75,13373.60714286
19667.875,13275.5
19677.20833333,13289.92857143
19471.33333333,13261.03571429
19055.5,13097.96428571
18556.41666667,12910.96428571
18063.16666667,12644.75
17529.125,12231.64285714
17037.66666667,11888.25
16716.16666667,11508.07142857
16539.41666667,11323.17857143
16470.625,11235.53571429
16530.41666667,11196.32142857
16693.70833333,11203.71428571
17042.54166667,11394.71428571
17544.25,11790.0
18209.79166667,12338.10714286
18757.875,12826.32142857
19055.875,13053.0
18967.25,12987.39285714
18794.91666667,12798.0
18601.66666667,12669.10714286
18487.79166667,12532.28571429
18563.91666667,12459.85714286
18821.625,12487.57142857
19074.45833333,12609.75
19161.75,12721.5
18887.70833333,12740.32142857
18483.625,12640.39285714
18086.45833333,12474.71428571
17706.16666667,12245.28571429
17292.125,11955.71428571
16866.58333333,11670.25
16566.29166667,11401.39285714
16395.70833333,11253.64285714
16356.08333333,11167.5
16376.20833333,11118.82142857
16473.04166667,11134.89285714
16786.04166667,11210.32142857
17073.33333333,11444.42857143
17542.375,11815.32142857
18038.83333333,12207.03571429
18352.95833333,12480.96428571
18362.04166667,12527.21428571
18219.125,12485.03571429
18155.375,12415.60714286
18161.20833333,12372.39285714
18318.04166667,12378.75
18582.95833333,12402.14285714
18742.625,12499.64285714
18822.54166667,12617.0
18759.125,12733.89285714
18631.54166667,12819.28571429
18324.79166667,12781.75
17870.875,12554.5
17296.45833333,12100.96428571
