x1,x2
16091.54166667,11512.71428571
15904.0,11320.03571429
15880.41666667,11246.71428571
15916.04166667,11208.75
16223.41666667,11302.92857143
17006.95833333,11808.28571429
18925.54166667,13272.10714286
20398.79166667,14689.0
20724.375,15332.53571429
20669.20833333,15434.21428571
20708.125,15529.82142857
20654.29166667,15486.57142857
20448.58333333,15354.46428571
20290.29166667,15218.14285714
20214.95833333,15084.57142857
20451.83333333,15021.28571429
20663.04166667,14876.35714286
20961.95833333,15020.78571429
20847.83333333,14860.64285714
20444.91666667,14740.57142857
19730.04166667,14479.96428571
18888.83333333,14028.10714286
17895.16666667,13308.78571429
17031.29166667,12583.96428571
16450.45833333,11825.60714286
16219.0,11616.21428571
16090.75,11521.07142857
16115.91666667,11460.78571429
16399.45833333,11433.35714286
17195.41666667,11897.10714286
19043.875,13297.75
20510.125,14642.25
20702.625,15221.82142857
20653.83333333,15381.39285714
20653.375,15429.5
20518.0,15389.53571429
20299.83333333,15250.39285714
20178.20833333,15124.32142857
20152.375,14989.71428571
20413.625,14916.21428571
20676.54166667,14759.67857143
21044.5,14874.57142857
20923.41666667,14749.07142857
20590.08333333,14642.89285714
19983.54166667,14442.89285714
19176.95833333,13959.28571429
18079.58333333,13292.60714286
17221.91666667,12523.17857143
16596.29166667,11814.5
16384.375,11617.89285714
16288.875,11489.5
16321.70833333,11459.96428571
16587.33333333,11509.0
17367.875,11953.32142857
19334.95833333,13356.14285714
20849.25,14771.39285714
21025.04166667,15299.25
20508.91666667,15450.28571429
20793.41666667,15548.17857143
20569.04166667,15460.25
20306.5,15329.32142857
20212.08333333,15175.78571429
20176.45833333,14995.5
20433.0,14921.03571429
20635.20833333,14769.42857143
20986.83333333,14853.28571429
20833.875,14753.78571429
20387.33333333,14650.14285714
19785.75,14423.0
18899.79166667,13938.82142857
17900.95833333,13235.78571429
17010.16666667,12518.0
16426.5,11833.78571429
16221.25,11585.0
16145.83333333,11491.57142857
16140.54166667,11443.42857143
16335.75,11447.67857143
17105.125,11863.67857143
18990.75,13307.57142857
20567.20833333,14682.71428571
20685.33333333,15195.67857143
20554.875,15278.17857143
20584.91666667,15276.71428571
20401.75,15243.92857143
20241.08333333,15129.17857143
20103.29166667,15008.89285714
20090.20833333,14863.25
20354.54166667,14824.46428571
20579.25,14659.53571429
20890.08333333,14729.89285714
20768.33333333,14572.46428571
20447.95833333,14467.0
19804.45833333,14263.75
18990.5,13769.60714286
17987.125,13086.46428571
17109.125,12309.53571429
16495.83333333,11726.60714286
16234.0,11488.42857143
16149.0,11380.89285714
16184.875,11339.28571429
16462.08333333,11368.32142857
17269.83333333,11823.89285714
19127.20833333,13162.96428571
20620.29166667,14560.10714286
20072.04166667,15091.28571429
20854.41666667,15254.64285714
20841.375,15292.17857143
20636.125,15150.14285714
20374.70833333,14942.25
20074.66666667,14658.78571429
19857.54166667,14362.25
19925.45833333,14131.10714286
20103.125,14030.42857143
20431.08333333,14074.64285714
20303.5,13944.17857143
19767.41666667,13748.35714286
18985.45833333,13405.60714286
18219.25,13008.57142857
17446.95833333,12575.07142857
16820.25,12071.28571429
16244.58333333,11462.32142857
15978.54166667,11211.78571429
15870.70833333,11058.10714286
15838.16666667,10959.46428571
15940.45833333,10874.57142857
16154.625,10853.82142857
16693.16666667,11124.78571429
17346.75,11657.07142857
18051.20833333,12383.92857143
18584.79166667,12961.82142857
18815.5,13165.46428571
18821.625,13157.85714286
18662.625,13034.53571429
18452.95833333,12824.25
18340.20833333,12654.32142857
18551.875,12594.10714286
18987.41666667,12628.10714286
19364.375,12856.82142857
19290.33333333,12974.07142857
18862.375,12844.60714286
18323.66666667,12685.60714286
17734.70833333,12399.92857143
17104.45833333,12041.03571429
15891.83333333,11640.85714286
16050.79166667,11132.71428571
15832.66666667,10877.92857143
15701.08333333,10737.28571429
15682.29166667,10651.67857143
15766.75,10597.92857143
15953.375,10585.14285714
16335.41666667,10769.60714286
16792.54166667,11187.67857143
17328.45833333,11847.53571429
17969.83333333,12438.78571429
18322.91666667,12796.03571429
18510.91666667,12902.75
18459.16666667,12855.28571429
18287.91666667,12767.89285714
18276.29166667,12651.92857143
18523.29166667,12543.96428571
19062.75,12684.53571429
19522.5,12989.57142857
19610.625,13168.96428571
19402.95833333,13281.67857143
18889.91666667,13200.21428571
18170.25,12853.71428571
17424.20833333,12373.75
16730.95833333,11761.53571429
