x1,x2
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,0.00012807
0.0,0.01681712
1.0e-8,0.0616735
0.00077051,0.1376879
0.02254995,0.24710348
0.07700901,0.36171821
0.15200749,0.46424892
0.22840148,0.5376548
0.26903114,0.58594145
0.27845164,0.59807807
0.25675084,0.5746556
0.20936268,0.5158955
0.12439523,0.43889919
0.05726542,0.33602643
0.01523413,0.22039552
0.00099022,0.12057509
2.685e-5,0.05675993
0.0,0.00933264
0.0,0.00065817
0.0,4.888e-5
0.0,1.6e-7
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,0.00014143
0.0,0.02025836
3.0e-8,0.07176452
0.00085843,0.14666668
0.01901085,0.25081683
0.06442951,0.35664478
0.16188728,0.46709868
0.2469077,0.53747291
0.2987614,0.58859312
0.32991964,0.59457703
0.30118375,0.57163935
0.25127015,0.52575065
0.1429982,0.4594758
0.06759685,0.3641719
0.01774743,0.24097705
0.00079801,0.13534234
2.116e-5,0.06589731
0.0,0.01010501
0.0,0.00044655
0.0,4.998e-5
0.0,2.0e-7
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,0.00013829
0.0,0.01997627
7.0e-8,0.07319638
0.00149412,0.15779327
0.01917767,0.26950691
0.08580716,0.39487445
0.18361239,0.51892984
0.25816751,0.6118771
0.3025404,0.67850717
0.30114321,0.68645238
0.27190005,0.64566985
0.21539762,0.57758456
0.12768724,0.48995078
0.04917444,0.3801119
0.00959245,0.24675514
0.00063659,0.13399581
3.207e-5,0.06111766
0.0,0.00816281
0.0,0.00040815
0.0,3.46e-5
0.0,1.1e-7
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,0.00012843
0.0,0.01790891
1.8e-7,0.07063355
0.00053756,0.15106103
0.01073942,0.26964056
0.06127239,0.38653477
0.14509622,0.49970666
0.21656421,0.59077372
0.26063972,0.63944701
0.26295311,0.66180803
0.24615763,0.64083722
0.19921374,0.56280287
0.12707307,0.47863091
0.05118784,0.3733285
0.01251243,0.24854265
0.00094078,0.13798788
8.301e-5,0.06192423
0.0,0.00989689
0.0,0.00057464
0.0,6.16e-5
0.0,2.3e-7
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,0.0001555
0.0,0.02409211
8.9e-7,0.08570095
0.00388319,0.17888197
0.02384648,0.29360573
0.07013086,0.43096287
0.14296459,0.55439291
0.20133466,0.63296664
0.23236096,0.68805634
0.24368809,0.70252927
0.22161439,0.67257746
0.17841664,0.61203329
0.11694783,0.52191372
0.05364597,0.40081566
0.02060954,0.2663774
0.00237566,0.14721522
8.822e-5,0.06646775
2.0e-8,0.00967326
0.0,0.00052971
0.0,5.792e-5
0.0,1.7e-7
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,0.00015052
0.0,0.02142702
2.08e-6,0.07251803
0.00174043,0.15851506
0.0171214,0.2788408
0.07104283,0.40297905
0.1382084,0.50789953
0.2063301,0.58488824
0.24382844,0.62118564
0.26063676,0.6232658
0.23949473,0.5889941
0.18601733,0.52487961
0.10896435,0.4364
0.04509451,0.33402052
0.01213995,0.22757727
0.00122887,0.12462441
9.731e-5,0.05628187
6.0e-8,0.00904808
0.0,0.00042951
0.0,3.634e-5
0.0,1.2e-7
0.0,-0.0
0.0,-0.0
0.0,-0.0
0.0,0.00013492
0.0,0.02013662
2.16e-6,0.07603213
0.00177509,0.15864874
0.01685283,0.26530345
0.06811912,0.38088313
0.14970412,0.49053302
0.23164535,0.56916987
0.28087947,0.60493117
0.2905549,0.62068934
0.26306854,0.57460431
0.22249825,0.51836204
0.14295834,0.43283569
0.07005896,0.33092073
0.02936148,0.22140096
0.00358356,0.12327878
0.00014548,0.06098033
1.5e-7,0.00965379
0.0,0.0007596
0.0,5.626e-5
0.0,1.4e-7
