x1,x2
-0.0,0.00037222
-0.0,0.00089678
-0.0,0.00314864
-0.0,0.01123711
1.0e-7,0.0382284
3.337e-5,0.07587962
0.00251036,0.14143896
0.01319875,0.22125962
0.04666368,0.31163926
0.10324747,0.39044215
0.16887988,0.45637294
0.21235721,0.48560268
0.23216038,0.49462683
0.22008664,0.47242138
0.16861065,0.42606139
0.10737077,0.36570119
0.05411609,0.29023148
0.01846241,0.20451478
0.00085138,0.12369976
1.0e-8,0.07317724
-0.0,0.03565568
-0.0,0.00497065
-0.0,0.00063296
-0.0,0.00025026
-0.0,0.00036645
-0.0,0.00114454
-0.0,0.00361736
-0.0,0.01266643
1.4e-7,0.0474955
2.894e-5,0.09258671
0.00296337,0.16607468
0.02044216,0.25881722
0.06476877,0.35061116
0.13387565,0.42903595
0.21318491,0.47992851
0.27097615,0.50444952
0.28543152,0.50479034
0.2639156,0.48018558
0.20039774,0.43077673
0.12689073,0.36757374
0.06009482,0.29230482
0.02131312,0.21349217
0.00175748,0.1349992
7.0e-8,0.07880343
-0.0,0.03881252
-0.0,0.00592294
-0.0,0.00079549
-0.0,0.00028603
-0.0,0.00038881
-0.0,0.00106174
-0.0,0.00386975
-0.0,0.0148418
3.3e-7,0.05063118
5.74e-5,0.08940543
0.00318031,0.15841494
0.01972159,0.24764913
0.05576075,0.34463155
0.10591158,0.42608499
0.16543157,0.47996443
0.21396316,0.51120958
0.22410346,0.5055422
0.20631432,0.47557996
0.16168744,0.42416301
0.10949602,0.35718366
0.05721921,0.28540385
0.01756976,0.19990309
0.00202366,0.12519094
2.5e-7,0.07123343
-0.0,0.03599915
-0.0,0.00544147
-0.0,0.0006867
-0.0,0.00026896
-0.0,0.00040254
-0.0,0.00116783
-0.0,0.00392852
-0.0,0.01437831
5.7e-7,0.04698366
0.00012917,0.08447414
0.00527186,0.15094346
0.02571775,0.23560791
0.07323223,0.32529074
0.13054429,0.40306397
0.19262508,0.456489
0.23740697,0.47996668
0.24968907,0.47571159
0.2266761,0.45684928
0.18110544,0.41338325
0.12175227,0.35117587
0.06719745,0.28361031
0.02241581,0.20226648
0.00250336,0.12711773
6.7e-7,0.07158895
-0.0,0.03630586
-0.0,0.00484439
-0.0,0.00072274
-0.0,0.00030898
-0.0,0.00045869
-0.0,0.00118458
-0.0,0.00362509
-0.0,0.01279515
9.0e-7,0.04513455
9.361e-5,0.08159103
0.00531087,0.14824758
0.02669596,0.23563048
0.06759512,0.33029032
0.12492827,0.41753819
0.19642353,0.47306238
0.24623221,0.50389885
0.25988347,0.50827796
0.23646309,0.48435508
0.18035306,0.4361596
0.10872338,0.36922503
0.05493742,0.29030826
0.02372724,0.2045543
0.00322683,0.12640875
1.51e-6,0.07057228
-0.0,0.03539377
-0.0,0.00422451
-0.0,0.00046082
-0.0,0.00019546
-0.0,0.00028606
-0.0,0.00083597
-0.0,0.00277978
-0.0,0.01191961
1.29e-6,0.04547988
0.0002159,0.0854328
0.00621503,0.15650483
0.02405673,0.24647599
0.06326193,0.3354238
0.12506467,0.40757616
0.1969404,0.47073381
0.25025666,0.50200619
0.26310606,0.50341784
0.24176636,0.47822082
0.18528892,0.43750434
0.11594266,0.37272754
0.05899437,0.29663533
0.02777942,0.20834677
0.00356471,0.12714933
2.98e-6,0.0709464
-0.0,0.03395615
-0.0,0.00469215
-0.0,0.00040528
-0.0,0.00013794
-0.0,0.00020702
-0.0,0.00072317
-0.0,0.00339108
-0.0,0.01376121
2.26e-6,0.04310671
0.00032699,0.08003398
0.00725454,0.1422775
0.0309169,0.23328028
0.06939199,0.32400665
0.1275096,0.40142286
0.1977366,0.45506774
0.25405439,0.4859288
0.26624875,0.48487328
0.24062046,0.45644618
0.1834896,0.40867077
0.1134803,0.34367638
0.05561333,0.26324761
0.02474092,0.18490658
0.00438085,0.11482024
5.2e-6,0.06495553
-0.0,0.02839611
-0.0,0.00360422
-0.0,0.00050584
-0.0,0.00024083
