x1,x2
0.0,0.00019391
0.0,0.00102565
0.0,0.00744921
0.0,0.02407557
0.0,0.05334593
7.287e-5,0.10082951
0.00587693,0.1845784
0.02328258,0.27459306
0.06808719,0.36264404
0.12758227,0.43342051
0.18176872,0.47982961
0.21584738,0.50442338
0.21617029,0.50798798
0.18258336,0.4756463
0.12590124,0.42972966
0.07318309,0.35908208
0.03120489,0.27151971
0.00922311,0.18454732
0.00012303,0.10548331
0.0,0.06319788
0.0,0.02840114
0.0,0.00567252
0.0,0.00064536
0.0,0.00017164
0.0,0.00026674
0.0,0.00153032
0.0,0.00953532
0.0,0.0276308
0.0,0.06339542
8.096e-5,0.11094966
0.00660834,0.19809624
0.02666177,0.29907469
0.06630163,0.39679399
0.1174199,0.48004225
0.16713887,0.52551018
0.19766462,0.53413503
0.19546901,0.52415038
0.17085378,0.49153173
0.12287062,0.43553286
0.07541464,0.35863508
0.032495,0.27333045
0.00938994,0.1881241
0.00016285,0.11073168
0.0,0.06563484
0.0,0.02972762
0.0,0.00612637
0.0,0.00070219
0.0,0.00015909
0.0,0.00022662
0.0,0.00132785
0.0,0.00876432
0.0,0.02973993
0.0,0.06901383
0.00014695,0.11858251
0.00732586,0.20149363
0.02713182,0.29535686
0.06826116,0.38716992
0.12613087,0.46756893
0.187503,0.50613386
0.22123186,0.5281438
0.22159451,0.51011136
0.18990549,0.47213092
0.13786005,0.41156979
0.08216111,0.33777767
0.03765588,0.25825541
0.01068859,0.17673704
0.00023028,0.1031872
0.0,0.0587552
0.0,0.0257302
0.0,0.00493986
0.0,0.00054299
0.0,0.00013754
0.0,0.00021112
0.0,0.00117642
0.0,0.00683016
0.0,0.0254399
0.0,0.05771273
0.00016266,0.10142265
0.00852108,0.18332043
0.02887165,0.27584862
0.07750596,0.36572355
0.13725237,0.43943479
0.19285595,0.4914725
0.22180945,0.50699673
0.22049922,0.49441568
0.19307547,0.46293533
0.14721258,0.40985231
0.09159409,0.33441059
0.04415519,0.25243766
0.0120592,0.17143688
0.00028333,0.10069928
0.0,0.05758608
0.0,0.02470774
0.0,0.0050637
0.0,0.00055902
0.0,0.00013255
0.0,0.0001869
0.0,0.00100773
0.0,0.00635888
0.0,0.02387935
1.0e-8,0.05782112
0.00026797,0.10283943
0.00866811,0.1803019
0.03353939,0.26416177
0.07695776,0.35594422
0.13116587,0.43525302
0.18641014,0.49096398
0.21849303,0.51306397
0.21660343,0.50431442
0.18489638,0.47351961
0.13453891,0.41342308
0.07766303,0.34873367
0.03808903,0.26067781
0.0119535,0.16903679
0.00037259,0.09661409
0.0,0.05293583
0.0,0.02138189
0.0,0.00353529
0.0,0.00042361
0.0,0.00011601
0.0,0.00018449
0.0,0.00109433
0.0,0.00672281
0.0,0.02367101
5.0e-8,0.05710088
0.00037942,0.10390717
0.00834469,0.18566039
0.02705927,0.28002367
0.06232937,0.37315187
0.10885537,0.44666652
0.1620288,0.50208949
0.19877506,0.50639073
0.20262356,0.48996827
0.17375722,0.44923911
0.12443888,0.39869281
0.07110824,0.32906791
0.03202185,0.24693763
0.01194668,0.16781947
0.00047706,0.09986465
0.0,0.05658205
0.0,0.02595561
0.0,0.00535595
0.0,0.00058703
0.0,0.00014232
0.0,0.00021694
0.0,0.00130784
0.0,0.00869137
0.0,0.02774315
1.2e-7,0.05854388
0.00043361,0.10382198
0.0090328,0.18186917
0.02898011,0.27957489
0.07073084,0.37532729
0.12733633,0.45519694
0.18301805,0.50802331
0.21864533,0.531868
0.22022621,0.52031028
0.19382466,0.47886855
0.14582045,0.4213477
0.08554214,0.34600614
0.04184356,0.253536
0.01320418,0.16985667
0.00053597,0.09827047
0.0,0.05485978
0.0,0.02100208
0.0,0.0040486
0.0,0.00049956
0.0,0.0001335
