x1,x2,x3
2702.79166667,2280.25,2207.0
2647.25,2220.16666667,2172.0
2632.95833333,2192.95833333,2147.25
2669.125,2188.375,2175.25
2824.16666667,2273.54166667,2306.75
3282.08333333,2636.58333333,2723.75
3733.08333333,3038.70833333,3104.75
4055.04166667,3396.83333333,3446.0
4188.04166667,3564.83333333,3599.25
4203.125,3600.45833333,3596.75
4183.125,3594.45833333,3580.75
4114.04166667,3543.54166667,3529.25
4155.75,3593.16666667,3587.25
4124.41666667,3554.70833333,3546.75
4108.375,3502.45833333,3489.5
4128.66666667,3421.54166667,3408.25
4140.375,3328.0,3320.25
4134.58333333,3274.91666667,3299.5
4063.45833333,3223.04166667,3355.75
3936.16666667,3195.41666667,3438.75
3716.95833333,3147.20833333,3275.0
3385.125,2973.875,2926.0
3083.04166667,2703.625,2599.0
2832.66666667,2465.08333333,2400.0
2724.91666667,2294.29166667,2283.0
2665.33333333,2233.08333333,2234.0
2647.41666667,2211.79166667,2218.0
2682.41666667,2207.0,2250.5
2828.5,2292.91666667,2378.25
3273.83333333,2653.45833333,2807.0
3727.16666667,3045.41666667,3207.75
4042.125,3403.5,3543.5
4172.79166667,3570.125,3677.25
4167.0,3607.375,3676.0
4159.54166667,3602.125,3647.5
4087.70833333,3551.08333333,3588.5
4134.29166667,3606.16666667,3645.75
4098.79166667,3567.70833333,3622.75
4084.54166667,3520.79166667,3578.75
4114.125,3440.375,3501.5
4129.33333333,3348.58333333,3410.5
4131.375,3299.45833333,3387.0
4069.875,3247.625,3449.5
3946.58333333,3229.45833333,3510.25
3724.0,3177.25,3339.0
3391.33333333,2993.875,2980.0
3078.79166667,2716.875,2652.25
2875.20833333,2482.04166667,2438.75
2764.79166667,2348.91666667,2346.75
2705.20833333,2291.45833333,2286.5
2686.29166667,2268.83333333,2273.25
2718.125,2254.54166667,2305.25
2860.375,2326.04166667,2424.0
3296.25,2672.08333333,2827.0
3737.29166667,3083.08333333,3196.0
4029.70833333,3436.16666667,3486.25
4150.33333333,3586.54166667,3608.5
4166.45833333,3619.70833333,3604.0
4137.125,3604.33333333,3571.5
4072.08333333,3556.04166667,3516.75
4112.875,3605.04166667,3580.5
4077.875,3571.58333333,3543.0
4070.91666667,3531.66666667,3501.5
4094.91666667,3457.29166667,3427.75
4114.75,3363.875,3329.0
4120.91666667,3310.625,3328.75
4063.16666667,3258.625,3389.25
3942.125,3238.16666667,3448.0
3724.20833333,3183.45833333,3287.75
3401.125,2999.54166667,2951.25
3096.125,2714.83333333,2641.5
2880.95833333,2487.375,2441.25
2770.29166667,2352.95833333,2347.5
2713.20833333,2285.04166667,2279.25
2696.375,2257.54166667,2261.75
2734.29166667,2251.20833333,2285.75
2884.95833333,2332.625,2419.75
3347.16666667,2693.20833333,2844.25
3817.20833333,3115.16666667,3227.5
4135.375,3464.66666667,3554.75
4251.33333333,3627.95833333,3683.5
4256.83333333,3650.95833333,3675.5
4231.54166667,3639.75,3654.0
4152.45833333,3582.375,3588.25
4202.58333333,3643.33333333,3653.25
4167.0,3603.45833333,3630.5
4159.125,3556.625,3579.5
4175.33333333,3473.125,3492.25
4182.25,3370.875,3383.25
4185.20833333,3320.70833333,3380.5
4115.29166667,3267.25,3448.5
3994.25,3241.70833333,3528.25
3771.20833333,3195.83333333,3338.75
3435.16666667,3009.75,2978.0
3117.16666667,2730.91666667,2664.0
2903.95833333,2494.79166667,2441.5
2787.625,2357.04166667,2344.75
2735.29166667,2289.58333333,2293.0
2723.29166667,2264.16666667,2282.5
2759.375,2255.25,2299.0
2909.54166667,2330.70833333,2416.25
3365.16666667,2676.0,2859.0
3825.29166667,3087.83333333,3237.75
4147.66666667,3438.20833333,3550.5
4265.79166667,3601.91666667,3677.5
4262.5,3623.83333333,3658.75
4226.66666667,3614.45833333,3632.0
4147.20833333,3563.66666667,3574.5
4183.45833333,3615.125,3628.5
4138.25,3571.58333333,3585.0
4108.29166667,3512.58333333,3532.5
4122.04166667,3423.04166667,3444.25
4143.5,3337.16666667,3352.0
4138.83333333,3277.33333333,3343.5
4072.04166667,3222.0,3399.0
3950.5,3187.625,3460.75
3734.0,3136.625,3285.5
3426.20833333,2968.41666667,2956.5
3138.08333333,2711.16666667,2649.75
2923.58333333,2484.91666667,2448.75
2777.875,2347.58333333,2327.0
2712.54166667,2266.20833333,2266.5
2677.66666667,2223.75,2238.25
2688.04166667,2190.875,2241.5
2755.16666667,2190.625,2294.5
2930.70833333,2308.08333333,2446.75
3156.66666667,2523.29166667,2632.5
3387.29166667,2793.625,2902.25
3592.0,3002.29166667,3094.5
3695.5,3092.54166667,3149.0
3710.20833333,3101.875,3145.5
3686.125,3081.41666667,3136.5
3665.41666667,3056.875,3101.25
3631.04166667,3007.79166667,3070.0
3620.29166667,2959.45833333,3034.75
3697.875,2926.70833333,3005.5
3789.70833333,2904.41666667,2990.25
3815.875,2892.91666667,3009.0
3784.25,2881.125,3100.0
3673.33333333,2881.20833333,3180.75
3500.20833333,2862.45833333,3051.25
3248.08333333,2753.41666667,2789.5
3013.75,2567.70833333,2551.0
2825.5,2369.33333333,2362.75
2704.83333333,2235.66666667,2227.5
2639.83333333,2162.66666667,2168.75
2575.75,2126.08333333,2143.0
2619.16666667,2096.04166667,2145.75
2672.45833333,2091.83333333,2184.5
2809.75,2173.45833333,2264.75
2979.54166667,2337.625,2378.0
3173.79166667,2582.79166667,2616.5
3381.75,2807.08333333,2851.5
3508.29166667,2921.54166667,2963.75
3542.29166667,2945.58333333,2989.5
3536.58333333,2938.08333333,2980.0
3529.83333333,2926.0,2969.0
3511.70833333,2899.0,2953.5
3516.91666667,2868.58333333,2936.25
3614.83333333,2856.79166667,2935.5
3748.95833333,2862.16666667,2959.25
3807.08333333,2880.79166667,2999.0
3794.33333333,2900.54166667,3120.25
3707.20833333,2927.41666667,3226.5
3531.66666667,2916.29166667,3088.5
3256.29166667,2786.83333333,2787.75
2986.5,2550.08333333,2502.0
2798.75,2340.75,2304.25
