x1,x2,x3
3200.75,2802.125,2750.75
3111.08333333,2707.58333333,2644.0
3070.83333333,2664.125,2613.0
3086.375,2672.0,2617.75
3167.45833333,2705.41666667,2691.25
3399.16666667,2875.25,2958.25
4000.33333333,3358.33333333,3592.25
4598.375,3872.70833333,4118.0
4811.83333333,4141.5,4342.25
4836.91666667,4235.5,4398.5
4911.5,4323.625,4457.0
4885.20833333,4332.08333333,4518.0
4799.25,4276.54166667,4433.75
4802.54166667,4296.25,4451.5
4762.0,4227.04166667,4372.75
4681.33333333,4116.95833333,4216.75
4810.45833333,4082.875,4181.0
5164.83333333,4272.08333333,4440.75
5043.70833333,4192.625,4382.0
4740.66666667,3983.54166667,4229.0
4448.41666667,3805.83333333,4056.75
4175.08333333,3632.70833333,3757.0
3846.54166667,3424.5,3406.25
3552.79166667,3151.125,3093.0
3361.29166667,2955.375,2908.25
3263.16666667,2841.54166667,2823.0
3211.04166667,2789.08333333,2768.5
3223.66666667,2792.29166667,2778.0
3299.0,2837.0,2836.25
3539.45833333,2995.45833333,3088.0
4128.79166667,3471.33333333,3686.0
4723.58333333,3989.66666667,4205.75
4916.08333333,4241.875,4399.75
4940.25,4291.16666667,4451.0
5015.41666667,4385.0,4544.0
4970.83333333,4376.5,4509.0
4873.08333333,4333.125,4649.0
4974.08333333,4353.41666667,4458.0
4812.83333333,4268.95833333,4380.5
4703.70833333,4142.08333333,4271.0
4822.75,4122.75,4285.0
5160.95833333,4310.125,4534.25
5063.41666667,4215.33333333,4471.0
4786.04166667,4013.45833333,4307.75
4490.54166667,3839.625,4124.75
4200.875,3688.91666667,3823.25
3881.125,3479.08333333,3480.5
3577.125,3201.16666667,3157.0
3387.41666667,2982.45833333,2940.25
3271.875,2872.375,2839.0
3222.875,2823.875,2792.0
3241.70833333,2826.04166667,2819.0
3323.04166667,2864.08333333,2887.25
3573.33333333,3037.54166667,3137.0
4161.125,3527.58333333,3774.5
4752.83333333,4056.29166667,4274.0
4948.375,4307.375,4417.0
5043.75,4371.375,4426.25
5018.33333333,4467.83333333,4537.0
4990.95833333,4482.66666667,4521.0
4903.375,4421.41666667,4427.5
4892.91666667,4430.875,4488.0
4809.95833333,4352.79166667,4402.5
4734.54166667,4224.70833333,4265.75
4842.58333333,4183.125,4271.75
5171.625,4337.45833333,4490.5
5082.29166667,4232.79166667,4410.75
4795.0,4019.54166667,4291.0
