x1,x2,x3
10264.66666667,7735.83333333,8028.0
10087.125,7572.29166667,7878.75
10039.66666667,7511.20833333,7856.25
10142.54166667,7533.29166667,7979.0
10518.58333333,7707.375,8312.25
11338.75,8337.66666667,9159.5
11762.08333333,8838.79166667,9615.0
11921.95833333,9115.70833333,9863.0
11913.83333333,9252.375,9930.25
11845.04166667,9285.33333333,9922.0
11808.41666667,9297.54166667,9882.25
11745.45833333,9303.33333333,9845.75
11633.54166667,9215.04166667,9767.25
11608.58333333,9154.33333333,9664.0
11651.70833333,9084.08333333,9566.0
11709.20833333,9008.04166667,9477.0
11793.04166667,8960.33333333,9524.0
11838.66666667,8905.375,9559.75
11908.04166667,8965.83333333,9747.5
11744.04166667,8947.95833333,9843.25
11287.625,8706.04166667,9353.5
11387.375,8793.29166667,9223.75
11165.08333333,8607.29166667,8887.75
10712.75,8131.16666667,8372.0
10404.70833333,7808.25,8054.25
10220.29166667,7639.58333333,7888.0
10168.54166667,7562.04166667,7866.0
10258.5,7558.33333333,7970.25
10619.125,7738.29166667,8286.25
11404.54166667,8322.5,9018.5
11787.25,8810.33333333,9448.75
11908.41666667,9091.5,9641.75
11877.04166667,9211.66666667,9726.25
11802.33333333,9250.41666667,9685.75
11768.45833333,9268.41666667,9662.0
11720.375,9264.16666667,9624.25
11642.0,9184.45833333,9508.75
11613.66666667,9136.41666667,9411.0
11663.79166667,9104.875,9407.5
11739.45833333,9049.79166667,9404.75
11847.16666667,9048.83333333,9491.25
11945.625,8996.5,9566.25
12019.45833333,9070.08333333,9811.75
11849.79166667,9059.125,9830.0
11328.58333333,8798.70833333,9302.25
11380.125,8864.875,9171.0
11159.41666667,8683.54166667,8865.5
10689.16666667,8216.95833333,8344.25
10377.5,7890.08333333,8014.5
10201.125,7708.08333333,7836.75
10142.33333333,7639.875,7795.25
10239.08333333,7634.04166667,7891.75
10596.41666667,7822.04166667,8246.0
11380.58333333,8434.5,9004.0
11740.79166667,8931.375,9401.0
11875.625,9166.95833333,9596.0
11834.20833333,9270.5,9655.25
11750.95833333,9261.16666667,9624.25
11723.66666667,9284.125,9685.5
11676.20833333,9297.58333333,9675.25
11575.79166667,9242.95833333,9582.75
11539.95833333,9187.5,9512.5
11597.58333333,9137.75,9465.75
11692.875,9071.91666667,9410.5
11806.0,9071.95833333,9464.25
11936.16666667,9042.83333333,9516.5
12039.58333333,9120.91666667,9843.0
11847.5,9090.66666667,9926.75
11323.66666667,8809.70833333,9406.5
11362.33333333,8834.20833333,9215.75
11151.5,8645.5,8921.0
10678.41666667,8196.375,8433.5
10375.70833333,7872.29166667,8141.0
10182.79166667,7689.0,7964.75
10138.125,7634.75,7947.5
10235.16666667,7634.29166667,8076.25
10587.08333333,7825.625,8405.75
11358.0,8440.04166667,9116.5
11757.45833333,8910.625,9566.5
11873.29166667,9165.95833333,9781.5
11808.25,9276.25,9826.0
11750.66666667,9279.0,9791.75
11712.0,9320.04166667,9751.0
11654.20833333,9313.33333333,9693.25
11562.29166667,9232.0,9594.0
11529.08333333,9176.25,9541.0
11573.45833333,9118.125,9517.75
11650.5,9065.41666667,9481.0
11739.70833333,9046.79166667,9540.75
11816.66666667,8976.83333333,9622.5
11915.45833333,9050.58333333,9865.0
11756.41666667,9055.20833333,9933.5
11305.16666667,8821.83333333,9509.5
11392.375,8886.91666667,9363.75
11165.125,8678.41666667,9019.0
10708.75,8191.29166667,8527.75
10405.20833333,7880.375,8219.0
10247.41666667,7721.375,8061.5
10216.58333333,7661.75,8049.75
10310.54166667,7677.41666667,8161.25
10674.125,7866.16666667,8501.25
11436.125,8473.375,9277.0
11829.91666667,8957.70833333,9701.25
11983.625,9224.20833333,9868.75
11945.875,9352.20833333,9934.0
11879.41666667,9350.75,9860.5
11832.70833333,9376.08333333,9834.25
11750.54166667,9346.45833333,9780.25
11664.25,9287.75,9664.75
11607.375,9209.29166667,9592.5
11656.08333333,9152.83333333,9575.75
11743.16666667,9103.04166667,9527.75
11829.95833333,9061.5,9533.25
11921.29166667,9006.25,9634.5
11978.75,9036.45833333,9895.75
11777.875,8976.58333333,9902.75
11305.0,8710.75,9445.75
11389.04166667,8768.41666667,9361.25
11157.66666667,8573.70833333,9001.75
10697.95833333,8114.125,8516.75
10379.08333333,7781.91666667,8200.75
10169.08333333,7598.70833333,8029.25
10078.33333333,7511.79166667,7996.5
10102.875,7474.79166667,8053.0
10221.95833333,7478.54166667,8161.25
10483.95833333,7624.95833333,8398.5
10584.79166667,7786.66666667,8434.25
10813.70833333,8036.54166667,8613.0
10943.75,8243.16666667,8799.5
11033.5,8348.625,8883.0
11047.29166667,8381.04166667,8935.25
10988.04166667,8360.45833333,8920.0
10937.20833333,8319.95833333,8877.75
10911.625,8269.58333333,8822.25
11050.16666667,8281.20833333,8873.25
11289.91666667,8349.29166667,8980.75
11558.5,8440.20833333,9127.75
11796.79166667,8518.25,9370.25
11777.79166667,8593.16666667,9608.25
11462.33333333,8510.45833333,9547.75
11032.29166667,8312.95833333,9084.75
11186.95833333,8472.20833333,9040.5
11034.54166667,8353.45833333,8803.0
10623.5,7964.25,8341.0
10285.625,7639.875,8025.0
10073.16666667,7451.875,7850.25
9982.70833333,7371.75,7802.0
9980.04166667,7320.70833333,7830.5
10062.83333333,7287.66666667,7896.0
10230.16666667,7361.25,8016.5
10232.83333333,7457.29166667,7992.25
10427.625,7669.16666667,8133.75
10568.625,7881.5,8339.5
10730.08333333,8043.79166667,8513.25
10799.375,8134.125,8555.75
10780.75,8135.54166667,8521.25
10705.58333333,8089.66666667,8396.0
10665.875,8050.5,8329.0
10768.29166667,8048.29166667,8337.25
10952.25,8078.95833333,8410.25
11164.29166667,8142.16666667,8544.0
11357.375,8236.875,8775.0
11428.79166667,8370.16666667,9154.25
11262.875,8365.375,9196.5
10891.29166667,8199.29166667,8817.75
11149.66666667,8423.875,8886.75
11040.91666667,8335.20833333,8703.0
10662.70833333,7943.91666667,8248.5
