x1,x2,x3
16672.25,11720.41666667,12286.0
16352.08333333,11429.41666667,12042.5
16252.20833333,11293.25,12001.75
16257.54166667,11284.66666667,11970.75
16396.45833333,11307.70833333,12063.25
16973.58333333,11573.83333333,12470.0
18355.33333333,12555.08333333,13648.5
19811.04166667,13629.66666667,14908.5
20270.16666667,14041.33333333,15154.25
20174.08333333,14045.41666667,15106.75
20050.95833333,14038.08333333,15039.25
19893.41666667,13945.91666667,14747.5
19697.20833333,13880.625,14595.75
19576.33333333,13804.79166667,14536.0
19579.125,13759.04166667,14480.75
19666.29166667,13710.125,14458.25
19841.04166667,13678.125,14537.5
19829.41666667,13583.125,14477.5
19721.83333333,13470.625,14440.5
19564.5,13469.95833333,14579.0
19297.125,13468.54166667,14623.0
18876.5,13387.70833333,14297.5
18242.25,13066.625,13763.0
17487.45833333,12495.70833333,12978.5
16936.41666667,11965.5,12502.5
16603.45833333,11648.25,12175.5
16509.25,11485.08333333,12042.5
16517.45833333,11467.33333333,12023.75
16691.75,11470.16666667,12099.0
17245.5,11718.625,12542.0
18583.54166667,12710.58333333,13807.0
20022.25,13806.75,14905.5
20342.79166667,14158.95833333,15135.5
20188.20833333,14166.70833333,15009.75
20042.20833333,14163.125,14841.25
19846.58333333,14202.125,14714.75
19654.16666667,14105.91666667,14488.75
19555.04166667,14056.25,14478.5
19547.29166667,13946.08333333,14519.0
19693.45833333,13837.83333333,14467.0
19907.20833333,13875.08333333,14409.5
19921.66666667,13802.58333333,14378.0
19825.375,13708.95833333,14390.0
19686.0,13676.875,14405.0
19479.91666667,13653.45833333,14327.0
19047.70833333,13534.29166667,14057.25
18385.83333333,13236.33333333,13468.0
17600.04166667,12656.375,12700.5
17075.20833333,12036.29166667,12226.5
16751.58333333,11665.41666667,11915.5
16605.20833333,11500.83333333,11821.0
16603.375,11423.41666667,11815.0
16709.45833333,11394.83333333,11895.75
17201.375,11693.875,12216.0
18572.5,12829.45833333,13410.0
20034.91666667,13989.375,14592.0
20349.91666667,14318.29166667,14649.5
20188.125,14257.625,14542.5
20006.125,14199.125,14365.5
19805.625,14071.45833333,14276.0
19624.875,13951.25,14235.75
19482.25,13853.58333333,14182.25
19572.375,13775.66666667,14104.75
19657.625,13694.5,14069.25
19836.625,13681.5,14118.0
19866.66666667,13598.66666667,14113.25
19721.58333333,13562.375,14237.75
19567.29166667,13541.625,14389.25
19292.875,13506.91666667,14375.25
18853.20833333,13396.5,14109.25
18229.75,13088.29166667,13441.75
17487.95833333,12409.54166667,12786.0
16986.33333333,11907.375,12282.25
16615.75,11465.91666667,12041.0
16456.45833333,11304.16666667,11825.5
16445.125,11245.33333333,11845.75
16580.08333333,11272.70833333,12006.5
17074.45833333,11581.16666667,12444.5
18397.16666667,12642.41666667,13588.25
19841.70833333,13708.75,14825.75
20186.95833333,14142.375,15095.5
20028.75,14158.41666667,15034.0
19836.66666667,14089.20833333,14881.0
19598.625,13922.70833333,14690.5
19452.5,13777.125,14556.75
19350.04166667,13724.04166667,14537.0
19356.625,13671.66666667,14477.0
19431.83333333,13647.58333333,14448.5
19685.66666667,13648.875,14557.25
19729.79166667,13611.66666667,14619.5
19656.25,13529.79166667,14568.75
19503.04166667,13492.41666667,14765.75
19241.08333333,13415.29166667,14803.0
18849.625,13277.58333333,14450.25
18254.45833333,12944.08333333,13883.75
17498.45833333,12293.83333333,13225.25
16963.66666667,11881.95833333,12591.75
16657.54166667,11492.79166667,12223.0
16514.20833333,11316.125,12159.25
16534.25,11269.20833333,12154.75
16661.91666667,11286.20833333,12218.25
17184.58333333,11585.33333333,12659.75
18490.25,12584.83333333,13874.5
19929.79166667,13730.79166667,15134.5
20371.54166667,14124.04166667,15427.0
20297.25,14179.375,15271.25
20155.04166667,14131.58333333,15229.0
19894.70833333,13949.70833333,14936.5
19680.0,13735.875,14719.0
19511.79166667,13592.75,14663.0
19477.70833333,13403.08333333,14645.5
19477.375,13252.75,14456.25
19601.75,13193.83333333,14452.25
19667.875,13103.91666667,14305.0
19677.20833333,13092.125,14476.75
19471.33333333,13024.5,14680.25
19055.5,12880.04166667,14405.5
18556.41666667,12716.95833333,14075.0
18063.16666667,12493.45833333,13552.5
17529.125,12098.25,13032.0
17037.66666667,11752.375,12703.5
16716.16666667,11371.91666667,12325.0
16539.41666667,11190.08333333,12121.75
16470.625,11100.58333333,12045.25
16530.41666667,11041.25,12126.75
16693.70833333,11036.08333333,12209.5
