x1,x2,x3
16091.54166667,11487.95833333,11661.25
15904.0,11285.20833333,11529.0
15880.41666667,11203.45833333,11506.25
15916.04166667,11171.5,11432.25
16223.41666667,11241.08333333,11674.0
17006.95833333,11715.0,12368.0
18925.54166667,13117.91666667,14197.25
20398.79166667,14532.25,15629.5
20724.375,15212.91666667,16050.25
20669.20833333,15311.5,16170.5
20708.125,15417.79166667,16202.0
20654.29166667,15386.70833333,16085.75
20448.58333333,15239.29166667,16045.5
20290.29166667,15108.375,15876.75
20214.95833333,14990.66666667,15648.0
20451.83333333,14919.75,15630.5
20663.04166667,14750.91666667,15629.0
20961.95833333,14863.41666667,15965.0
20847.83333333,14682.16666667,15931.5
20444.91666667,14529.95833333,16004.25
19730.04166667,14294.125,15595.0
18888.83333333,13933.83333333,14593.75
17895.16666667,13283.33333333,13461.5
17031.29166667,12589.83333333,12548.75
16450.45833333,11815.08333333,11888.75
16219.0,11582.5,11818.5
16090.75,11475.83333333,11792.5
16115.91666667,11399.58333333,11828.0
16399.45833333,11341.0,11987.5
17195.41666667,11770.625,12656.0
19043.875,13129.625,14306.5
20510.125,14482.5,15600.75
20702.625,15082.04166667,16060.5
20653.83333333,15275.875,16014.5
20653.375,15341.125,15959.75
20518.0,15313.0,15848.75
20299.83333333,15169.875,15733.5
20178.20833333,15053.75,15547.75
20152.375,14916.25,15430.5
20413.625,14832.45833333,15418.75
20676.54166667,14670.0,15297.75
21044.5,14727.41666667,15757.5
20923.41666667,14544.5,15976.5
20590.08333333,14428.08333333,15931.75
19983.54166667,14293.75,15337.75
19176.95833333,13867.875,14507.75
18079.58333333,13250.33333333,13546.25
17221.91666667,12514.91666667,12572.75
16596.29166667,11813.58333333,11820.0
16384.375,11629.20833333,11550.0
16288.875,11500.33333333,11424.5
16321.70833333,11469.58333333,11402.25
16587.33333333,11493.5,11602.0
17367.875,11885.66666667,12359.25
19334.95833333,13219.375,14176.75
20849.25,14660.58333333,15436.25
21025.04166667,15224.29166667,15749.0
20508.91666667,15362.875,15974.75
20793.41666667,15469.91666667,16017.75
20569.04166667,15400.5,15818.75
20306.5,15273.04166667,15667.0
20212.08333333,15145.04166667,15360.25
20176.45833333,14939.83333333,15329.5
20433.0,14851.16666667,15340.25
20635.20833333,14667.875,15378.75
20986.83333333,14754.83333333,15444.0
20833.875,14635.33333333,15464.5
20387.33333333,14500.58333333,15547.5
19785.75,14307.875,15113.75
18899.79166667,13886.33333333,14253.75
17900.95833333,13230.25,13269.0
17010.16666667,12541.5,12377.0
16426.5,11817.625,11930.75
16221.25,11570.70833333,11670.75
16145.83333333,11474.33333333,11595.0
16140.54166667,11419.5,11587.0
16335.75,11385.625,11820.0
17105.125,11766.75,12445.25
18990.75,13183.79166667,14050.25
20567.20833333,14562.54166667,15403.75
20685.33333333,15090.0,15829.75
20554.875,15202.04166667,15735.0
20584.91666667,15211.41666667,15668.5
20401.75,15172.0,15675.5
20241.08333333,15017.16666667,15801.25
20103.29166667,14924.16666667,15517.25
20090.20833333,14798.25,15253.25
20354.54166667,14744.875,15302.0
20579.25,14548.20833333,15327.5
20890.08333333,14596.33333333,15531.25
20768.33333333,14410.0,15547.25
20447.95833333,14270.125,15648.25
19804.45833333,14081.91666667,15354.75
18990.5,13628.375,14617.0
17987.125,13002.875,13588.0
17109.125,12262.45833333,12592.0
16495.83333333,11678.41666667,12015.75
16234.0,11423.75,11876.5
16149.0,11308.125,11817.5
16184.875,11265.125,11784.25
16462.08333333,11281.25,11890.75
17269.83333333,11691.66666667,12617.25
19127.20833333,12990.54166667,14197.5
20620.29166667,14379.25,15645.25
20072.04166667,14945.70833333,15964.75
20854.41666667,15134.41666667,15976.0
20841.375,15180.625,15961.5
20636.125,15065.20833333,15659.75
20374.70833333,14886.375,15277.5
20074.66666667,14608.875,14958.25
19857.54166667,14297.25,14752.25
19925.45833333,14064.41666667,14531.25
20103.125,13955.16666667,14482.0
20431.08333333,13927.95833333,14954.75
20303.5,13772.41666667,14974.75
19767.41666667,13549.83333333,14939.5
18985.45833333,13248.875,14346.0
18219.25,12915.125,13569.25
17446.95833333,12494.20833333,13060.25
16820.25,11997.75,12512.5
16244.58333333,11368.54166667,12025.0
15978.54166667,11112.20833333,11809.25
15870.70833333,10966.41666667,11608.25
15838.16666667,10866.54166667,11517.0
15940.45833333,10759.16666667,11567.0
16154.625,10707.16666667,11733.75
16693.16666667,10963.20833333,12094.25
17346.75,11530.29166667,12417.75
18051.20833333,12269.0,13073.5
18584.79166667,12852.54166667,13617.5
18815.5,13046.04166667,13882.0
18821.625,13043.04166667,13846.75
18662.625,12939.25,13606.25
18452.95833333,12723.5,13428.75
18340.20833333,12540.0,13340.25
18551.875,12465.08333333,13368.25
18987.41666667,12485.58333333,13483.25
