x1,x2,x3
-0.0,0.00043426,-0.0
-0.0,0.00104624,-0.0
-0.0,0.00367342,-0.0
-0.0,0.01310996,-0.0
1.0e-7,0.04459044,5.614e-5
3.337e-5,0.08793811,0.00352871
0.00251036,0.15996298,0.03029489
0.01319875,0.24001513,0.10872655
0.04666368,0.33227862,0.18780308
0.10324747,0.41249588,0.25811974
0.16887988,0.47813448,0.32580372
0.21235721,0.50374428,0.3767531
0.23216038,0.51423714,0.37696496
0.22008664,0.48907645,0.37249095
0.16861065,0.44538031,0.3101479
0.10737077,0.38626586,0.2423132
0.05411609,0.31249506,0.15665001
0.01846241,0.22669466,0.07143549
0.00085138,0.14324303,0.00644017
1.0e-8,0.08537294,3.0e-6
-0.0,0.04159829,-0.0
-0.0,0.00579909,-0.0
-0.0,0.00073846,-0.0
-0.0,0.00029196,-0.0
-0.0,0.00042753,-0.0
-0.0,0.0013353,-0.0
-0.0,0.00422026,-0.0
-0.0,0.0147775,-0.0
1.4e-7,0.05540794,2.086e-5
2.894e-5,0.10773799,0.00167909
0.00296337,0.19006039,0.02216041
0.02044216,0.29063519,0.06790939
0.06476877,0.38891171,0.12080787
0.13387565,0.47348853,0.16232047
0.21318491,0.52774762,0.19301382
0.27097615,0.55199496,0.21917686
0.28543152,0.55408646,0.20901364
0.2639156,0.52685639,0.20016072
0.20039774,0.47302144,0.17730846
0.12689073,0.40486909,0.14380159
0.06009482,0.32521505,0.09484345
0.02131312,0.24146966,0.04562724
0.00175748,0.15698117,0.00310739
7.0e-8,0.09193721,6.9e-7
-0.0,0.04528127,-0.0
-0.0,0.0069101,-0.0
-0.0,0.00092807,-0.0
-0.0,0.0003337,-0.0
-0.0,0.00045361,-0.0
-0.0,0.00123869,-0.0
-0.0,0.00451471,-0.0
-0.0,0.01731543,-0.0
3.3e-7,0.05906827,8.69e-6
5.74e-5,0.10405175,0.00152752
0.00318031,0.17994715,0.02922172
0.01972159,0.27576706,0.07894157
0.05576075,0.37852406,0.14127653
0.10591158,0.46235248,0.20848004
0.16543157,0.51756224,0.25437757
0.21396316,0.54302243,0.32033252
0.22410346,0.53386774,0.33558894
0.20631432,0.5011652,0.32206848
0.16168744,0.44787556,0.28188771
0.10949602,0.38297182,0.20245467
0.05721921,0.3106065,0.13418793
0.01756976,0.2263077,0.04147539
0.00202366,0.14565396,0.00241285
2.5e-7,0.08310564,1.4e-7
-0.0,0.04199901,-0.0
-0.0,0.00634838,-0.0
-0.0,0.00080114,-0.0
-0.0,0.00031379,-0.0
-0.0,0.00046962,-0.0
-0.0,0.00136247,-0.0
-0.0,0.00458327,-0.0
-0.0,0.01677469,-0.0
5.7e-7,0.05481379,2.91e-6
0.00012917,0.09848378,0.00041633
0.00527186,0.17108076,0.03011969
0.02571775,0.25693201,0.10766328
0.07323223,0.34841057,0.18657172
0.13054429,0.43005072,0.24114352
0.19262508,0.48471902,0.2871089
0.23740697,0.50634348,0.32170587
0.24968907,0.5028167,0.31308092
0.2266761,0.48408002,0.29346483
0.18110544,0.43843445,0.2630761
0.12175227,0.37817845,0.18916034
0.06719745,0.31195763,0.11352638
0.02241581,0.2292736,0.04022374
0.00250336,0.14792467,0.00227609
6.7e-7,0.08352044,1.0e-8
-0.0,0.04235683,-0.0
-0.0,0.00565179,-0.0
-0.0,0.0008432,-0.0
-0.0,0.00036047,-0.0
-0.0,0.00053514,-0.0
-0.0,0.00138201,-0.0
-0.0,0.00422927,-0.0
-0.0,0.01492767,-0.0
9.0e-7,0.05265633,3.86e-6
9.361e-5,0.09509999,0.00053722
0.00531087,0.1692069,0.02249163
0.02669596,0.26022483,0.08806436
0.06759512,0.35657249,0.17259731
0.12492827,0.44566552,0.2487742
0.19642353,0.50217606,0.29838028
0.24623221,0.53252588,0.33213667
0.25988347,0.53729065,0.33420183
0.23646309,0.51493499,0.30087564
0.18035306,0.46882887,0.24014402
0.10872338,0.40045837,0.18182496
0.05493742,0.32269177,0.09600721
0.02372724,0.2332521,0.0323675
0.00322683,0.14732221,0.000928
1.51e-6,0.08233432,-0.0
-0.0,0.04129273,-0.0
-0.0,0.0049286,-0.0
-0.0,0.00053762,-0.0
-0.0,0.00022803,-0.0
-0.0,0.00033374,-0.0
-0.0,0.0009753,-0.0
-0.0,0.00324307,-0.0
-0.0,0.01390621,-0.0
1.29e-6,0.05305899,5.24e-6
0.0002159,0.09955635,0.00069147
0.00621503,0.17916065,0.02056996
0.02405673,0.27594195,0.06968021
0.06326193,0.37161922,0.11825126
0.12506467,0.44851095,0.16196736
0.1969404,0.51550493,0.20210705
0.25025666,0.54748687,0.22912217
0.26310606,0.54917861,0.22885323
0.24176636,0.520213,0.22626769
0.18528892,0.47732425,0.1985849
0.11594266,0.40844315,0.15843387
0.05899437,0.32908372,0.10194494
0.02777942,0.23592154,0.0428982
0.00356471,0.14798244,0.00215071
2.98e-6,0.0827708,-0.0
-0.0,0.03961551,-0.0
-0.0,0.00547417,-0.0
-0.0,0.00047283,-0.0
-0.0,0.00016094,-0.0
-0.0,0.00024153,-0.0
-0.0,0.0008437,-0.0
-0.0,0.00395626,-0.0
-0.0,0.01605474,-0.0
2.26e-6,0.05029097,1.18e-6
