x1,x2,x3
0.0,0.00022623,-0.0
0.0,0.00119659,-0.0
0.0,0.00869075,-0.0
0.0,0.02808816,-0.0
0.0,0.06223621,4.25e-6
7.287e-5,0.11717637,0.00274835
0.00587693,0.20859756,0.04046347
0.02328258,0.30228878,0.10841874
0.06808719,0.39342903,0.17793412
0.12758227,0.46741811,0.22943495
0.18176872,0.51738119,0.25452014
0.21584738,0.54267362,0.27492198
0.21617029,0.54390451,0.29248881
0.18258336,0.50763316,0.28372512
0.12590124,0.45632296,0.27016983
0.07318309,0.38138407,0.22527013
0.03120489,0.29504327,0.13037833
0.00922311,0.20865157,0.0399218
0.00012303,0.1228894,0.00104673
0.0,0.07373085,-0.0
0.0,0.03313466,-0.0
0.0,0.00661794,-0.0
0.0,0.00075293,-0.0
0.0,0.00020024,-0.0
0.0,0.0003112,-0.0
0.0,0.00178537,-0.0
0.0,0.01112454,-0.0
0.0,0.03223593,-0.0
0.0,0.07396112,1.25e-6
8.096e-5,0.12909578,0.00207295
0.00660834,0.22303988,0.04843439
0.02666177,0.32928218,0.11782975
0.06630163,0.42698996,0.21561816
0.1174199,0.51329359,0.28053422
0.16713887,0.56321268,0.2992952
0.19766462,0.57351024,0.29788379
0.19546901,0.56005328,0.308733
0.17085378,0.52684929,0.27962638
0.12287062,0.46799995,0.24073027
0.07541464,0.38573847,0.19601475
0.032495,0.30186836,0.10210298
0.00938994,0.21404888,0.03257544
0.00016285,0.12908592,0.00060625
0.0,0.07657397,-0.0
0.0,0.03468222,-0.0
0.0,0.00714743,-0.0
0.0,0.00081922,-0.0
0.0,0.0001856,-0.0
0.0,0.00026439,-0.0
0.0,0.00154916,-0.0
0.0,0.01022504,-0.0
0.0,0.03469659,-0.0
0.0,0.08051594,1.17e-6
0.00014695,0.13809944,0.00148096
0.00732586,0.23034094,0.0284098
0.02713182,0.32921818,0.09218897
0.06826116,0.4241288,0.16541662
0.12613087,0.50519681,0.24180162
0.187503,0.5413638,0.29475422
0.22123186,0.55890455,0.3435793
0.22159451,0.53546473,0.35799117
0.18990549,0.4969031,0.32349785
0.13786005,0.43660558,0.26135501
0.08216111,0.36383226,0.18145013
0.03765588,0.28391284,0.10431083
0.01068859,0.20047472,0.03431101
0.00023028,0.12027563,0.00065661
0.0,0.06854773,-0.0
0.0,0.03001857,-0.0
0.0,0.00576317,-0.0
0.0,0.00063349,-0.0
0.0,0.00016046,-0.0
0.0,0.0002463,-0.0
0.0,0.00137249,-0.0
0.0,0.00796852,-0.0
0.0,0.02967989,-0.0
0.0,0.06733138,7.9e-7
0.00016266,0.11799645,0.00197984
0.00852108,0.20509731,0.05265914
0.02887165,0.29595208,0.1552279
0.07750596,0.38478092,0.25137932
0.13725237,0.4607452,0.31157233
0.19285595,0.51196981,0.36848862
0.22180945,0.52717472,0.38592882
0.22049922,0.51579824,0.36612031
0.19307547,0.48411761,0.33584166
0.14721258,0.42765599,0.30303027
0.09159409,0.35397144,0.2170455
0.04415519,0.27738916,0.10272863
0.0120592,0.19528514,0.02834733
0.00028333,0.11740018,0.00049389
0.0,0.06718376,-0.0
0.0,0.0288257,-0.0
0.0,0.00590765,-0.0
0.0,0.00065219,-0.0
0.0,0.00015464,-0.0
0.0,0.00021806,-0.0
0.0,0.00117569,-0.0
0.0,0.0074187,-0.0
0.0,0.02785924,-0.0
1.0e-8,0.06745791,3.8e-7
0.00026797,0.1196534,0.00195564
0.00866811,0.20141966,0.0535953
0.03353939,0.28447098,0.14230649
0.07695776,0.37539044,0.2392669
0.13116587,0.45201759,0.33466562
0.18641014,0.50915124,0.38184042
0.21849303,0.53018667,0.41032772
0.21660343,0.52237218,0.3959678
0.18489638,0.49179959,0.36383972
0.13453891,0.43273991,0.29752209
0.07766303,0.36794488,0.23346638
0.03808903,0.28323405,0.12534038
0.0119535,0.19280631,0.02641969
0.00037259,0.11265585,0.00036351
0.0,0.06175847,-0.0
0.0,0.02494553,-0.0
0.0,0.00412451,-0.0
0.0,0.00049421,-0.0
0.0,0.00013534,-0.0
0.0,0.00021524,-0.0
0.0,0.00127672,-0.0
0.0,0.00784328,-0.0
0.0,0.02761618,-0.0
5.0e-8,0.06661767,1.3e-7
0.00037942,0.12108804,0.00082193
0.00834469,0.21208417,0.02711767
0.02705927,0.3112993,0.09236991
0.06232937,0.40927947,0.15638632
0.10885537,0.48505446,0.21633893
0.1620288,0.54373618,0.25220939
0.19877506,0.54598693,0.26881353
0.20262356,0.52995786,0.25003074
0.17375722,0.4863654,0.22648138
0.12443888,0.43250713,0.19580691
0.07110824,0.36077769,0.13880925
0.03202185,0.27499407,0.07859901
0.01194668,0.19197887,0.02286302
0.00047706,0.11647241,0.00021811
0.0,0.0660124,-0.0
0.0,0.03028155,-0.0
0.0,0.00624861,-0.0
0.0,0.00068487,-0.0
0.0,0.00016605,-0.0
0.0,0.0002531,-0.0
0.0,0.00152582,-0.0
0.0,0.01013994,-0.0
0.0,0.03236701,-0.0
1.2e-7,0.06830119,1.0e-8
0.00043361,0.12100328,0.00073417
0.0090328,0.20519786,0.041897
0.02898011,0.30432709,0.13106169
0.07073084,0.40036405,0.22510675
0.12733633,0.48180449,0.29555167
0.18301805,0.53633654,0.33814395
0.21864533,0.5625658,0.3476812
0.22022621,0.55170793,0.3319244
0.19382466,0.50863883,0.30024684
0.14582045,0.4501058,0.24879911
0.08554214,0.37477254,0.17340768
0.04184356,0.28167375,0.08470948
0.01320418,0.19522785,0.01762953
0.00053597,0.11462885,0.0001202
0.0,0.06400308,-0.0
0.0,0.02450243,-0.0
0.0,0.00472337,-0.0
0.0,0.00058281,-0.0
0.0,0.00015575,-0.0
