x1,x2,x3
0.48747379,0.35752341,0.27904554
0.49441719,0.34835904,0.27567894
0.49883072,0.34049423,0.28112815
0.50422819,0.33180412,0.29010028
0.50819016,0.31889974,0.30013218
0.51290763,0.29649707,0.32252114
0.51491463,0.27905639,0.3498169
0.51270859,0.26892702,0.36896719
0.50425793,0.27035896,0.39199329
0.49570232,0.27791644,0.42289367
0.46182999,0.25512825,0.44838307
0.4585111,0.27460808,0.46921411
0.45921632,0.29312413,0.48288086
0.46330767,0.30518471,0.49302526
0.47213416,0.31026438,0.50058724
0.48615814,0.31366305,0.4971984
0.50557929,0.31153355,0.4959516
0.51922098,0.31352327,0.49935728
0.52430161,0.32031658,0.5073473
0.52001887,0.3309025,0.51419527
0.5093406,0.33542919,0.52087476
0.49753594,0.33590391,0.51988333
0.48121406,0.33436072,0.53102443
0.47325929,0.327968,0.50342453
0.46884034,0.32338504,0.47757212
0.4678396,0.31949199,0.45871017
0.46926363,0.31560458,0.45070267
0.47262666,0.31229592,0.45395274
0.47542587,0.30967312,0.45979631
0.47645367,0.29903708,0.46549389
0.47739729,0.28739166,0.46145008
0.4769249,0.28712791,0.46281563
0.47005223,0.29578855,0.47151634
0.46151529,0.31043162,0.48643375
0.44037352,0.29359443,0.47191499
0.43665616,0.30896297,0.4892668
0.43725486,0.32377675,0.50978667
0.44580614,0.3363443,0.538375
0.45848945,0.34358255,0.55229476
0.47399437,0.34692986,0.55332132
0.48896001,0.34688054,0.56473376
0.4988768,0.34931004,0.59045926
0.5002905,0.3581721,0.61489966
0.49597204,0.36574306,0.63290882
0.48888099,0.36844724,0.64386569
0.47939096,0.36720262,0.65242187
0.46352048,0.37477788,0.67049517
0.45805769,0.36341739,0.66751954
0.45121608,0.35351171,0.66050483
0.44833305,0.34437281,0.65468594
0.44540752,0.33532257,0.64941109
0.44359086,0.32845581,0.64531106
0.44221509,0.31585562,0.63880696
0.44124688,0.2994439,0.63483654
0.44014372,0.28163464,0.62420916
0.43844649,0.27205328,0.59564212
0.43131948,0.26999451,0.58361687
0.4237194,0.27931218,0.57853156
0.40220457,0.25752754,0.5303602
0.40519774,0.27314957,0.51572945
0.41059542,0.28897475,0.50997018
0.4185454,0.30493253,0.50898027
0.4288128,0.31822732,0.49763034
0.44248161,0.32642029,0.48924909
0.45497651,0.33369907,0.50367645
0.46296449,0.34461934,0.5288042
0.46290784,0.36078719,0.54313681
0.45624039,0.37516751,0.54451166
0.4474125,0.3802106,0.54848269
0.43751788,0.37923434,0.54550721
0.4186889,0.39304136,0.55515646
0.41137557,0.37838348,0.54501801
0.4083649,0.36358705,0.53112693
0.41046207,0.35209918,0.51905514
0.41579713,0.34342984,0.51399646
0.42247737,0.33826531,0.51669323
0.42948788,0.33135404,0.52248296
0.43481945,0.31972462,0.5278115
0.43644943,0.30083646,0.52879315
0.43319906,0.29500994,0.52014077
0.42577987,0.29980055,0.51191316
0.41673116,0.31362276,0.51096453
0.38744181,0.28785144,0.47788418
0.38840895,0.30824931,0.48494417
0.39086292,0.32279474,0.48795077
0.39845255,0.33506878,0.48612815
0.40916624,0.34227204,0.48524563
0.42104675,0.34359786,0.48109345
0.43354845,0.34441186,0.48316583
0.44356708,0.35399781,0.47742991
0.44837203,0.37506752,0.47911479
0.44663507,0.39693505,0.50296746
0.44211617,0.41419181,0.52632481
0.43811508,0.42213664,0.53925182
0.42886916,0.43142643,0.54879754
0.42435064,0.42180776,0.53024347
0.41919104,0.40929181,0.50654329
0.41651575,0.39923231,0.48912539
0.41332255,0.3946304,0.49269108
0.41236948,0.39651451,0.50661097
0.41068819,0.39960918,0.52644351
0.41112553,0.38831266,0.54513262
0.41040452,0.37081852,0.5546516
0.40687686,0.36305658,0.5438016
0.39646879,0.36633581,0.52165914
0.38430629,0.3748634,0.51325467
0.35209307,0.34720958,0.45695649
0.34686005,0.36425312,0.47871738
0.33979848,0.38155677,0.5000063
0.3386553,0.39469959,0.51716415
0.34524479,0.40112374,0.53335191
0.3550387,0.39967739,0.54755157
0.36687081,0.39449131,0.57009664
0.37681873,0.39182349,0.58451545
0.38130476,0.3968036,0.58853843
0.37773789,0.40489663,0.58615969
0.3673084,0.41183629,0.57731859
0.35533038,0.41137733,0.56236102
0.34077116,0.41253701,0.55930357
0.33290279,0.39613531,0.52460906
0.32984906,0.37850602,0.49482959
0.32909866,0.36313652,0.48394549
0.3295097,0.34925344,0.47510554
0.33316947,0.33551576,0.4736826
0.33709655,0.32090482,0.48251503
0.3411993,0.3012073,0.49170246
0.34494787,0.28313102,0.48455207
0.34500473,0.27061259,0.46889167
0.3413567,0.27130561,0.46215614
0.33998719,0.27723875,0.45833646
0.32328329,0.24731619,0.43563397
0.32028115,0.26321155,0.45812489
0.32019649,0.27875507,0.4847444
0.32139795,0.28890516,0.50818379
0.32803388,0.29534896,0.52743953
0.3384923,0.29467155,0.54405799
0.35158925,0.29184942,0.54991657
0.36365041,0.29186415,0.5620284
0.36947745,0.29819822,0.57496934
0.36732912,0.30515012,0.58409143
0.36270132,0.30766902,0.59222179
0.35647205,0.30719669,0.59579463
0.3425069,0.32079182,0.6140153
0.34421058,0.30803726,0.59898213
0.34732035,0.29635288,0.58043061
0.35149136,0.29084006,0.56937772
0.3573404,0.28959236,0.57651361
0.36616554,0.29090875,0.59152352
0.37540251,0.28817568,0.60779119
0.38424691,0.27645998,0.61691424
0.3914358,0.26353726,0.61524306
0.39751335,0.25891449,0.60521006
0.39888587,0.26578153,0.59338774
0.40054364,0.28004728,0.58574539
0.3884343,0.26001379,0.55498367
0.39285227,0.2801754,0.56367078
0.4002681,0.29757585,0.57134755
0.41093212,0.31116857,0.57050745
0.42418205,0.3160858,0.57527586
0.4395569,0.31771559,0.56266883
0.45932102,0.31610199,0.56282333
0.47784808,0.31572891,0.56418608
0.48912233,0.32107001,0.5579894
0.49279171,0.32904714,0.55398432
0.49180854,0.33132021,0.54567538
0.48823252,0.328586,0.53997664
0.47225088,0.33634461,0.54254819
0.47324006,0.3236263,0.52894379
