x1,x2,x3
0.44863954,0.32227721,0.36976045
0.45371494,0.3154331,0.37530785
0.45871364,0.31170198,0.38909793
0.46380775,0.30968415,0.40375149
0.46706805,0.30310914,0.43126776
0.46455481,0.29380285,0.45476864
0.46257361,0.28773963,0.46725871
0.45637397,0.28984305,0.47373892
0.44958613,0.30017609,0.48561578
0.44392559,0.31218017,0.4948824
0.42061303,0.29318596,0.47959818
0.42408299,0.31169208,0.50568308
0.42651974,0.32810956,0.53218126
0.43145848,0.34022031,0.55329584
0.44217796,0.34606276,0.56450678
0.45483808,0.34659833,0.56973544
0.46719898,0.34598478,0.5878274
0.4755197,0.34863866,0.60735973
0.4760416,0.3563067,0.62045201
0.47210438,0.36359353,0.62669091
0.46722168,0.36747988,0.63448458
0.46334774,0.36824086,0.63210473
0.45237859,0.38150432,0.63089324
0.45187291,0.3709027,0.61757389
0.4533299,0.36179734,0.60406641
0.45347701,0.35483018,0.58999659
0.44834752,0.34726705,0.58597214
0.44531378,0.33957509,0.5851089
0.44278447,0.32593103,0.57918304
0.43840104,0.30815214,0.57231192
0.43237261,0.29452703,0.57467101
0.42451968,0.28875842,0.59045874
0.41217174,0.29387579,0.59893684
0.40242961,0.30128591,0.60888917
0.37567552,0.28635794,0.54792677
0.37554166,0.29333108,0.60364416
0.38015757,0.30017779,0.64839011
0.38559271,0.30445281,0.66356573
0.39066272,0.30621319,0.65151246
0.39922397,0.30331244,0.64074585
0.40485703,0.30065572,0.64333882
0.40418258,0.30296912,0.64543621
0.398353,0.31023487,0.64496404
0.38893048,0.32065572,0.63545635
0.38180825,0.3263184,0.61633167
0.37683863,0.32802895,0.60041909
0.37049071,0.34513276,0.58427153
0.3757995,0.33930214,0.56766568
0.38022507,0.33374615,0.56034733
0.38351893,0.32498222,0.55463468
0.38698849,0.31624122,0.56098683
0.39112006,0.30688913,0.57833715
0.39461596,0.29630277,0.59645027
0.39605311,0.28427254,0.60971412
0.39484376,0.273721,0.61884029
0.39286169,0.27114531,0.61924651
0.38807412,0.27806417,0.62037677
0.38237163,0.28942949,0.62834628
0.36135306,0.27831537,0.60470746
0.36394503,0.29258109,0.58745202
0.36947703,0.30468646,0.58326628
0.37866995,0.31430991,0.5869554
0.38556666,0.32145043,0.59351467
0.39496131,0.32186813,0.60487742
0.40390864,0.32329513,0.60058827
0.40983222,0.32745678,0.58703269
0.412361,0.33354012,0.5744357
0.41128817,0.34076925,0.56804345
0.40859397,0.34684151,0.56722035
0.4037453,0.34785724,0.57271491
0.40050566,0.35894768,0.5680283
0.39928043,0.34807131,0.58239674
0.40104443,0.33431613,0.6027018
0.40339684,0.31966476,0.61957667
0.40662614,0.30585503,0.63484556
0.40888515,0.2874093,0.64655123
0.41135914,0.26797707,0.65875627
0.41299536,0.25237565,0.66669272
0.41498513,0.24334429,0.67283877
0.41445306,0.24536607,0.6826183
0.40744793,0.2537374,0.68884626
0.40188425,0.2633621,0.68319813
0.38788297,0.25143601,0.6283555
0.38778542,0.26307506,0.63443138
0.39129021,0.27388405,0.64359642
0.39461709,0.28301727,0.65578454
0.40131384,0.28640394,0.65021451
0.40936633,0.28616804,0.62655724
0.41589789,0.28913699,0.60640134
0.41758953,0.29582475,0.58294034
0.41562329,0.30914172,0.55754516
0.40876424,0.32238362,0.53296185
