x1,x2,x3
0.51095625,0.34822779,0.72856182
0.50836282,0.34973323,0.73774217
0.50509993,0.3490947,0.74594667
0.49969182,0.34567318,0.74455693
0.49445248,0.34138058,0.74348813
0.4882909,0.33509346,0.7418253
0.48230992,0.32752332,0.73188887
0.48065423,0.32840463,0.71541303
0.47653806,0.33651221,0.70588945
0.47127159,0.34336857,0.70766574
0.4577718,0.32936652,0.70553861
0.45678117,0.33170764,0.72030196
0.45809605,0.33452748,0.72871673
0.45854487,0.33702411,0.72171642
0.45751545,0.33516366,0.70919926
0.45598128,0.32818801,0.69931219
0.45347347,0.31599629,0.67470632
0.45320543,0.30599257,0.66343941
0.45239015,0.30218258,0.66127351
0.44984883,0.29936622,0.65791858
0.44757961,0.29178059,0.65719212
0.44589716,0.28431696,0.65001198
0.43443467,0.2778928,0.62701204
0.43127897,0.27308256,0.60875297
0.43179802,0.26818954,0.60145887
0.42895756,0.26361573,0.60386242
0.42285031,0.26241785,0.61555357
0.41666827,0.26059283,0.62070235
0.40994744,0.25834768,0.62396098
0.40202064,0.25589214,0.6307187
0.39560467,0.25520461,0.63502412
0.39341887,0.26167895,0.6343054
0.39305608,0.27264196,0.62209244
0.39563011,0.28926366,0.60734333
0.40199296,0.29200709,0.59943492
0.4099241,0.30883761,0.60537462
0.41318627,0.32374015,0.60576186
0.41714148,0.33036275,0.5957004
0.42429908,0.32992641,0.5785617
0.42947701,0.3255935,0.55425149
0.43625496,0.31835575,0.54460715
0.44371368,0.31339099,0.5489816
0.45309283,0.31343915,0.54829051
0.46206449,0.31275078,0.56027715
0.46775785,0.31211533,0.5758138
0.46847759,0.30824346,0.56726772
0.47140023,0.30717714,0.58352568
0.47266152,0.3051529,0.57253319
0.47537958,0.30465033,0.5871409
0.47641299,0.30374629,0.59825088
0.47853221,0.30241194,0.58996653
0.47903235,0.30024251,0.58455534
0.47861824,0.29763568,0.57533916
0.47391279,0.29923926,0.57112257
0.46525494,0.29752316,0.56404922
0.46157848,0.29927859,0.55147025
0.45841297,0.31153325,0.52931923
