x1,x2,x3
0.46477438,0.30746401,0.52891454
0.46158132,0.30366676,0.54178084
0.46011799,0.3019927,0.55757528
0.45949067,0.30189377,0.57881924
0.45816116,0.3003672,0.59871176
0.45489945,0.2933429,0.61475944
0.45249149,0.28706824,0.63120211
0.44898699,0.28396356,0.6377217
0.44301071,0.28803175,0.6590508
0.43420385,0.29690439,0.6646808
0.41583996,0.2930106,0.65101047
0.41510185,0.30659302,0.65088357
0.41529483,0.31733701,0.64356235
0.41760445,0.32599681,0.63655613
0.42398521,0.33147472,0.62843435
0.4299729,0.33330965,0.6122107
0.43440476,0.32744212,0.60000793
0.43717606,0.32089428,0.59200453
0.43726846,0.32054862,0.58993493
0.43482995,0.32328535,0.58984662
0.43161494,0.32543866,0.58722295
0.42728921,0.32410757,0.57359008
0.42345779,0.32504412,0.58183294
0.42158724,0.31647369,0.55942185
0.42233223,0.30936618,0.54465643
0.42263766,0.30204992,0.53304207
0.42418661,0.2964913,0.52444507
0.42567901,0.29118615,0.5251552
0.42583284,0.2874071,0.52819158
0.42622362,0.27551909,0.53416037
0.42629701,0.26390606,0.53817594
0.42324058,0.25748332,0.53352909
0.41579284,0.25653263,0.53436836
0.40908735,0.25933406,0.55543679
0.3963304,0.24836994,0.53620494
0.39129479,0.26139425,0.58600794
0.39019542,0.27540295,0.62175143
0.39058234,0.28669539,0.62884272
0.39396399,0.29597289,0.63782343
0.39784028,0.30109976,0.64760063
0.40327276,0.30382185,0.64997684
0.40656949,0.30459918,0.64674651
0.40520133,0.30936218,0.64073157
0.40001129,0.31830022,0.63100152
0.39596519,0.32646124,0.6238431
0.39263734,0.33008288,0.61681412
0.39461663,0.33658803,0.62829256
0.39364159,0.33482082,0.62126098
0.39486005,0.33121922,0.61650402
0.39758299,0.32592447,0.61884366
0.40180124,0.32307263,0.6248268
0.4057698,0.3206642,0.63390538
0.40769859,0.3172451,0.63604285
0.40868996,0.30869513,0.63438556
0.40692996,0.29439626,0.62642237
0.40287265,0.28742025,0.60889031
0.39693297,0.29021034,0.59592391
0.38942754,0.29985489,0.57769708
0.37930339,0.29482683,0.54375216
0.37387495,0.31030364,0.54289671
0.37177361,0.32224794,0.53917443
0.37491756,0.32835287,0.53169267
0.38082997,0.32960192,0.53380535
0.38968275,0.32728578,0.54097585
0.40126466,0.32534711,0.54811992
0.41033079,0.32411957,0.5570137
0.41503211,0.32650102,0.56584767
0.4160135,0.33550005,0.57338677
0.41502423,0.34524961,0.58637171
0.41194959,0.34868884,0.60111
0.41019005,0.34976909,0.63738285
0.40976497,0.34288275,0.63762581
0.41026652,0.33357444,0.6388822
0.41027881,0.32440814,0.64681212
0.41228327,0.31920124,0.65378103
0.41369647,0.31606902,0.6543266
0.41573367,0.30938667,0.64606971
0.41818672,0.29634446,0.6344729
0.41743645,0.28163213,0.62316187
0.415056,0.27560045,0.59816151
0.40912457,0.27658116,0.59607924
0.40259899,0.28451501,0.57321661
0.38697312,0.2795738,0.51220158
0.38208491,0.29260362,0.50169886
0.38059635,0.30661268,0.50223485
0.38048181,0.32116912,0.51340314
0.3850894,0.32999515,0.52836132
0.39209772,0.33594274,0.5406998
0.39926232,0.33848362,0.5432486
0.40655099,0.34263695,0.54426921
0.40714135,0.35245616,0.53616194
0.40424018,0.36821376,0.53049585
0.39887485,0.38230595,0.52613724
0.39312748,0.39587409,0.52450289
0.38430702,0.41270282,0.52664341
0.37853423,0.41142213,0.51688085
0.37573131,0.40873637,0.51619139
0.37168548,0.4062934,0.51690727
0.3685238,0.40517488,0.52172362
0.36514438,0.40335702,0.53152169
0.36151612,0.39956994,0.54314735
0.35731417,0.39312975,0.54691539
0.35200739,0.38586077,0.54370783
0.34658952,0.37589114,0.52813091
0.33954974,0.37228666,0.52593961
0.33335614,0.37227962,0.5150419
0.32007684,0.35879093,0.47328643
0.31586334,0.36722459,0.48905646
0.312022,0.37345638,0.50678247
0.31075861,0.3789155,0.52244143
0.31351219,0.38163541,0.53405755
0.31961441,0.38238668,0.53763326
0.32916047,0.37899885,0.53772878
0.33923034,0.3752211,0.54412233
0.34519336,0.37113614,0.5447349
0.34755882,0.37403273,0.53832763
0.3480239,0.37780505,0.52856304
0.34880372,0.377841,0.51809379
0.34523086,0.37021951,0.51907378
0.34719951,0.36172512,0.50964152
0.34997216,0.35170688,0.51356176
0.35404687,0.34247366,0.51923125
0.35803677,0.33399196,0.5267847
0.36214193,0.3255689,0.54776179
0.36610641,0.31687954,0.57310247
0.36974433,0.30304937,0.59748359
0.37172068,0.29179301,0.62049575
0.37098911,0.28275483,0.63315969
0.3683312,0.28099441,0.6389997
0.36418124,0.28766963,0.65506041
0.35814631,0.27104732,0.64020592
0.35285734,0.2852664,0.65590526
0.34978061,0.30234487,0.672248
0.35033339,0.31359752,0.68896012
0.35551606,0.31734048,0.70353257
0.36495937,0.31402615,0.70506792
0.37612305,0.30882705,0.70109481
0.38583673,0.30231833,0.70311919
0.39247684,0.29961364,0.70729475
0.393615,0.30111288,0.71227248
0.39307479,0.30354755,0.71629717
0.39090591,0.30447295,0.71391905
0.38532391,0.30764219,0.71398833
0.38797452,0.2987626,0.70495616
0.39243761,0.28979918,0.70033799
0.39652898,0.28175686,0.69666141
0.40042701,0.27545642,0.69160467
0.40518264,0.26998136,0.68119206
0.41146925,0.25998929,0.67258421
0.41679022,0.24796236,0.6679672
0.42095948,0.23392912,0.65951162
0.42109578,0.22464881,0.64599823
0.41868124,0.22306042,0.65448307
0.41599268,0.22978004,0.65054703
0.40600456,0.22378301,0.60302129
0.40560687,0.23829278,0.59713289
0.4098491,0.25603144,0.59726951
0.4146564,0.27249016,0.60645355
0.42020254,0.28135949,0.610071
0.42775915,0.28533244,0.60176881
0.43612242,0.28540137,0.59962686
0.44294064,0.28574642,0.60247758
0.44757427,0.29109426,0.60952118
0.45040824,0.30137978,0.61280359
0.45061748,0.31103203,0.61421364
0.44869948,0.31521282,0.60673526
0.44630136,0.32176111,0.60582126
0.44399718,0.31884379,0.57796586
