x1,x2,x3,x4
2651.5,2856.66666667,2280.25,2207.0
2593.33333333,2809.0,2220.16666667,2172.0
2578.16666667,2797.33333333,2192.95833333,2147.25
2611.72222222,2841.33333333,2188.375,2175.25
2765.27777778,3000.83333333,2273.54166667,2306.75
3220.61111111,3466.5,2636.58333333,2723.75
3675.16666667,3906.83333333,3038.70833333,3104.75
3986.05555556,4262.0,3396.83333333,3446.0
4116.5,4402.66666667,3564.83333333,3599.25
4136.61111111,4402.66666667,3600.45833333,3596.75
4125.27777778,4356.66666667,3594.45833333,3580.75
4058.88888889,4279.5,3543.54166667,3529.25
4103.22222222,4313.33333333,3593.16666667,3587.25
4076.55555556,4268.0,3554.70833333,3546.75
4067.66666667,4230.5,3502.45833333,3489.5
4113.66666667,4173.66666667,3421.54166667,3408.25
4137.27777778,4149.66666667,3328.0,3320.25
4100.38888889,4237.16666667,3274.91666667,3299.5
4008.94444444,4227.0,3223.04166667,3355.75
3868.05555556,4140.5,3195.41666667,3438.75
3650.94444444,3915.0,3147.20833333,3275.0
3326.22222222,3561.83333333,2973.875,2926.0
3029.83333333,3242.66666667,2703.625,2599.0
2769.83333333,3021.16666667,2465.08333333,2400.0
2683.55555556,2849.0,2294.29166667,2283.0
2622.27777778,2794.5,2233.08333333,2234.0
2603.77777778,2778.33333333,2211.79166667,2218.0
2635.0,2824.66666667,2207.0,2250.5
2775.38888889,2987.83333333,2292.91666667,2378.25
3215.55555556,3448.66666667,2653.45833333,2807.0
3674.61111111,3884.83333333,3045.41666667,3207.75
3979.33333333,4230.5,3403.5,3543.5
4107.27777778,4369.33333333,3570.125,3677.25
4126.22222222,4289.33333333,3607.375,3676.0
4106.38888889,4319.0,3602.125,3647.5
4039.16666667,4233.33333333,3551.08333333,3588.5
4086.38888889,4278.0,3606.16666667,3645.75
4055.5,4228.66666667,3567.70833333,3622.75
4050.44444444,4186.83333333,3520.79166667,3578.75
4107.77777778,4133.16666667,3440.375,3501.5
4135.44444444,4111.0,3348.58333333,3410.5
4106.44444444,4206.16666667,3299.45833333,3387.0
4022.61111111,4211.66666667,3247.625,3449.5
3886.61111111,4126.5,3229.45833333,3510.25
3663.72222222,3904.83333333,3177.25,3339.0
3337.61111111,3552.5,2993.875,2980.0
3034.33333333,3212.16666667,2716.875,2652.25
2825.77777778,3023.5,2482.04166667,2438.75
2712.88888889,2920.5,2348.91666667,2346.75
2650.88888889,2868.16666667,2291.45833333,2286.5
2632.0,2849.16666667,2268.83333333,2273.25
2658.55555556,2896.83333333,2254.54166667,2305.25
2797.94444444,3047.66666667,2326.04166667,2424.0
3239.77777778,3465.66666667,2672.08333333,2827.0
3696.77777778,3858.83333333,3083.08333333,3196.0
3986.88888889,4158.16666667,3436.16666667,3486.25
4109.55555556,4272.66666667,3586.54166667,3608.5
4131.16666667,4272.33333333,3619.70833333,3604.0
4107.22222222,4226.83333333,3604.33333333,3571.5
4039.72222222,4169.16666667,3556.04166667,3516.75
4081.11111111,4208.16666667,3605.04166667,3580.5
4049.44444444,4163.16666667,3571.58333333,3543.0
4049.44444444,4135.33333333,3531.66666667,3501.5
4098.77777778,4083.33333333,3457.29166667,3427.75
4130.83333333,4066.5,3363.875,3329.0
4111.38888889,4149.5,3310.625,3328.75
4032.11111111,4156.33333333,3258.625,3389.25
3901.94444444,4062.66666667,3238.16666667,3448.0
3679.44444444,3858.5,3183.45833333,3287.75
3354.5,3541.0,2999.54166667,2951.25
3048.5,3239.0,2714.83333333,2641.5
2833.27777778,3024.0,2487.375,2441.25
2721.05555556,2918.0,2352.95833333,2347.5
2661.77777778,2867.5,2285.04166667,2279.25
2645.27777778,2849.66666667,2257.54166667,2261.75
2680.05555556,2897.0,2251.20833333,2285.75
2827.16666667,3058.33333333,2332.625,2419.75
3291.38888889,3514.5,2693.20833333,2844.25
3781.27777778,3925.0,3115.16666667,3227.5
4100.0,4241.5,3464.66666667,3554.75
4218.55555556,4349.66666667,3627.95833333,3683.5
4222.66666667,4359.33333333,3650.95833333,3675.5
4197.05555556,4335.0,3639.75,3654.0
4115.83333333,4262.33333333,3582.375,3588.25
4168.5,4304.83333333,3643.33333333,3653.25
4137.0,4257.0,3603.45833333,3630.5
4140.66666667,4214.5,3556.625,3579.5
4184.44444444,4148.0,3473.125,3492.25
4204.5,4115.5,3370.875,3383.25
4175.66666667,4213.83333333,3320.70833333,3380.5
4074.83333333,4236.66666667,3267.25,3448.5
3941.11111111,4153.66666667,3241.70833333,3528.25
3717.88888889,3931.16666667,3195.83333333,3338.75
3386.22222222,3582.0,3009.75,2978.0
3071.88888889,3253.0,2730.91666667,2664.0
2856.44444444,3046.5,2494.79166667,2441.5
2741.44444444,2926.16666667,2357.04166667,2344.75
2691.38888889,2867.0,2289.58333333,2293.0
2679.44444444,2854.83333333,2264.16666667,2282.5
2713.27777778,2897.66666667,2255.25,2299.0
2860.44444444,3056.83333333,2330.70833333,2416.25
3324.05555556,3488.5,2676.0,2859.0
3803.83333333,3889.66666667,3087.83333333,3237.75
4121.66666667,4225.66666667,3438.20833333,3550.5
4240.05555556,4343.0,3601.91666667,3677.5
4240.5,4328.5,3623.83333333,3658.75
4206.0,4288.66666667,3614.45833333,3632.0
4127.16666667,4207.33333333,3563.66666667,3574.5
4166.33333333,4234.83333333,3615.125,3628.5
4123.83333333,4181.5,3571.58333333,3585.0
4100.55555556,4131.5,3512.58333333,3532.5
4140.55555556,4066.5,3423.04166667,3444.25
4177.05555556,4042.83333333,3337.16666667,3352.0
4140.0,4135.33333333,3277.33333333,3343.5
4040.55555556,4166.5,3222.0,3399.0
3908.66666667,4076.0,3187.625,3460.75
3690.66666667,3864.0,3136.625,3285.5
3388.0,3540.83333333,2968.41666667,2956.5
3101.27777778,3248.5,2711.16666667,2649.75
2884.72222222,3040.16666667,2484.91666667,2448.75
2738.83333333,2895.0,2347.58333333,2327.0
2667.83333333,2846.66666667,2266.20833333,2266.5
2632.5,2813.16666667,2223.75,2238.25
2643.88888889,2820.5,2190.875,2241.5
2710.38888889,2889.5,2190.625,2294.5
2897.88888889,3029.16666667,2308.08333333,2446.75
