x1,x2,x3,x4
3147.55555556,3360.33333333,2802.125,2750.75
3052.27777778,3287.5,2707.58333333,2644.0
3006.83333333,3262.83333333,2664.125,2613.0
3019.88888889,3285.83333333,2672.0,2617.75
3098.66666667,3373.83333333,2705.41666667,2691.25
3321.72222222,3631.5,2875.25,2958.25
3917.55555556,4248.66666667,3358.33333333,3592.25
4525.61111111,4816.66666667,3872.70833333,4118.0
4733.16666667,5047.83333333,4141.5,4342.25
4778.72222222,5011.5,4235.5,4398.5
4851.55555556,5091.33333333,4323.625,4457.0
4819.83333333,5081.33333333,4332.08333333,4518.0
4738.22222222,4982.33333333,4276.54166667,4433.75
4745.0,4975.16666667,4296.25,4451.5
4720.44444444,4886.66666667,4227.04166667,4372.75
4657.38888889,4753.16666667,4116.95833333,4216.75
4825.22222222,4766.16666667,4082.875,4181.0
5182.94444444,5110.5,4272.08333333,4440.75
5008.77777778,5148.5,4192.625,4382.0
4685.72222222,4905.5,3983.54166667,4229.0
4391.38888889,4619.5,3805.83333333,4056.75
4123.77777778,4329.0,3632.70833333,3757.0
3803.66666667,3975.16666667,3424.5,3406.25
3512.22222222,3674.5,3151.125,3093.0
3325.11111111,3469.83333333,2955.375,2908.25
3223.61111111,3381.83333333,2841.54166667,2823.0
3170.11111111,3333.83333333,2789.08333333,2768.5
3174.44444444,3371.33333333,2792.29166667,2778.0
3248.27777778,3451.16666667,2837.0,2836.25
3487.33333333,3695.83333333,2995.45833333,3088.0
4075.72222222,4288.0,3471.33333333,3686.0
4692.16666667,4817.83333333,3989.66666667,4205.75
4878.77777778,5028.0,4241.875,4399.75
4899.22222222,5063.33333333,4291.16666667,4451.0
4967.38888889,5159.5,4385.0,4544.0
4934.38888889,5080.16666667,4376.5,4509.0
4842.33333333,4965.33333333,4333.125,4649.0
4977.5,4963.83333333,4353.41666667,4458.0
4786.66666667,4891.33333333,4268.95833333,4380.5
4690.11111111,4744.5,4142.08333333,4271.0
4847.94444444,4747.16666667,4122.75,4285.0
5189.27777778,5076.0,4310.125,4534.25
5036.66666667,5143.66666667,4215.33333333,4471.0
4731.22222222,4950.5,4013.45833333,4307.75
4429.66666667,4673.16666667,3839.625,4124.75
4140.16666667,4383.0,3688.91666667,3823.25
3822.44444444,4057.16666667,3479.08333333,3480.5
3524.16666667,3736.0,3201.16666667,3157.0
3328.83333333,3563.16666667,2982.45833333,2940.25
3213.77777778,3446.16666667,2872.375,2839.0
3155.27777778,3425.66666667,2823.875,2792.0
3175.33333333,3440.83333333,2826.04166667,2819.0
3258.83333333,3515.66666667,2864.08333333,2887.25
3507.16666667,3771.83333333,3037.54166667,3137.0
4100.05555556,4344.33333333,3527.58333333,3774.5
4706.5,4891.83333333,4056.29166667,4274.0
4898.27777778,5098.66666667,4307.375,4417.0
5028.22222222,5090.33333333,4371.375,4426.25
4968.11111111,5169.0,4467.83333333,4537.0
4938.38888889,5148.66666667,4482.66666667,4521.0
4854.55555556,5049.83333333,4421.41666667,4427.5
4845.77777778,5034.33333333,4430.875,4488.0
4761.05555556,4956.66666667,4352.79166667,4402.5
4685.88888889,4880.5,4224.70833333,4265.75
4832.44444444,4873.0,4183.125,4271.75
5173.94444444,5164.66666667,4337.45833333,4490.5
5034.83333333,5224.66666667,4232.79166667,4410.75
4725.33333333,5004.0,4019.54166667,4291.0
4439.72222222,4731.33333333,3836.33333333,4218.75
4163.5,4426.0,3695.45833333,3856.5
3831.27777778,4082.66666667,3490.70833333,3489.25
3506.5,3795.83333333,3217.0,3161.75
3301.88888889,3593.5,2998.08333333,2941.0
3189.44444444,3495.16666667,2865.45833333,2833.25
3139.88888889,3450.0,2806.5,2799.0
3151.38888889,3450.83333333,2810.0,2776.25
3221.33333333,3506.16666667,2845.83333333,2813.5
3466.83333333,3732.33333333,3009.08333333,3093.25
4076.11111111,4279.33333333,3494.20833333,3671.25
4706.88888889,4791.0,4006.83333333,4227.5
4896.16666667,5016.66666667,4257.08333333,4513.75
4908.61111111,5452.33333333,4336.75,4544.0
4963.44444444,5136.0,4428.95833333,4594.0
4924.77777778,5107.66666667,4427.41666667,4498.75
4843.22222222,5001.16666667,4353.66666667,4391.25
4844.11111111,4950.0,4390.45833333,4409.75
4774.72222222,4866.5,4320.375,4360.25
4709.77777778,4749.83333333,4199.29166667,4227.5
4849.16666667,4765.16666667,4154.45833333,4199.0
5180.44444444,5046.33333333,4292.375,4357.5
5029.44444444,5137.5,4219.625,4302.75
4727.22222222,4935.5,4036.66666667,4209.25
4439.27777778,4678.83333333,3858.91666667,4035.25
4144.11111111,4393.66666667,3689.58333333,3782.0
3811.38888889,4068.33333333,3472.95833333,3454.25
3504.77777778,3756.5,3201.45833333,3137.5
3298.83333333,3572.0,2993.29166667,2940.5
