x1,x2,x3,x4
10045.66666667,10921.66666667,7735.83333333,8028.0
9858.33333333,10773.5,7572.29166667,7878.75
9800.05555556,10758.5,7511.20833333,7856.25
9886.72222222,10910.0,7533.29166667,7979.0
10248.77777778,11328.0,7707.375,8312.25
11067.27777778,12153.16666667,8337.66666667,9159.5
11553.83333333,12386.83333333,8838.79166667,9615.0
11713.83333333,12546.33333333,9115.70833333,9863.0
11693.38888889,12575.16666667,9252.375,9930.25
11646.11111111,12441.83333333,9285.33333333,9922.0
11623.22222222,12364.0,9297.54166667,9882.25
11585.61111111,12225.0,9303.33333333,9845.75
11505.55555556,12017.5,9215.04166667,9767.25
11484.83333333,11979.83333333,9154.33333333,9664.0
11552.72222222,11948.66666667,9084.08333333,9566.0
11656.05555556,11868.66666667,9008.04166667,9477.0
11734.22222222,11969.5,8960.33333333,9524.0
11715.5,12208.16666667,8905.375,9559.75
11743.38888889,12402.0,8965.83333333,9747.5
11548.05555556,12332.0,8947.95833333,9843.25
11084.88888889,11895.83333333,8706.04166667,9353.5
11174.05555556,12027.33333333,8793.29166667,9223.75
10939.66666667,11841.33333333,8607.29166667,8887.75
10475.33333333,11425.0,8131.16666667,8372.0
10145.0,11183.83333333,7808.25,8054.25
9947.38888889,11039.0,7639.58333333,7888.0
9879.88888889,11034.5,7562.04166667,7866.0
9955.33333333,11168.0,7558.33333333,7970.25
10302.27777778,11569.66666667,7738.29166667,8286.25
11093.66666667,12337.16666667,8322.5,9018.5
11531.33333333,12555.0,8810.33333333,9448.75
11648.27777778,12688.83333333,9091.5,9641.75
11600.55555556,12706.5,9211.66666667,9726.25
11539.38888889,12591.16666667,9250.41666667,9685.75
11538.16666667,12459.33333333,9268.41666667,9662.0
11520.16666667,12321.0,9264.16666667,9624.25
11454.61111111,12204.16666667,9184.45833333,9508.75
11433.11111111,12155.33333333,9136.41666667,9411.0
11515.83333333,12107.66666667,9104.875,9407.5
11635.77777778,12050.5,9049.79166667,9404.75
11752.44444444,12131.33333333,9048.83333333,9491.25
11780.94444444,12439.66666667,8996.5,9566.25
11794.94444444,12693.0,9070.08333333,9811.75
11584.0,12647.16666667,9059.125,9830.0
11040.77777778,12192.0,8798.70833333,9302.25
11082.16666667,12274.0,8864.875,9171.0
10838.11111111,12123.33333333,8683.54166667,8865.5
10341.5,11732.16666667,8216.95833333,8344.25
10012.11111111,11473.66666667,7890.08333333,8014.5
9832.22222222,11307.83333333,7708.08333333,7836.75
9760.0,11289.33333333,7639.875,7795.25
9833.0,11457.33333333,7634.04166667,7891.75
10175.33333333,11859.66666667,7822.04166667,8246.0
10968.0,12618.33333333,8434.5,9004.0
11397.33333333,12771.16666667,8931.375,9401.0
11542.38888889,12875.33333333,9166.95833333,9596.0
11479.11111111,12899.5,9270.5,9655.25
11429.83333333,12714.33333333,9261.16666667,9624.25
11437.0,12583.66666667,9284.125,9685.5
