x1,x2,x3,x4
16279.5,17850.5,11720.41666667,12286.0
15937.38888889,17596.16666667,11429.41666667,12042.5
15837.38888889,17496.66666667,11293.25,12001.75
15826.88888889,17549.5,11284.66666667,11970.75
15953.38888889,17725.66666667,11307.70833333,12063.25
16522.05555556,18328.16666667,11573.83333333,12470.0
17898.61111111,19725.5,12555.08333333,13648.5
19348.16666667,21199.66666667,13629.66666667,14908.5
19793.05555556,21701.5,14041.33333333,15154.25
19699.05555556,21599.16666667,14045.41666667,15106.75
19623.05555556,21334.66666667,14038.08333333,15039.25
19521.77777778,21008.33333333,13945.91666667,14747.5
19384.27777778,20636.0,13880.625,14595.75
19341.38888889,20281.16666667,13804.79166667,14536.0
19382.11111111,20170.16666667,13759.04166667,14480.75
19522.55555556,20097.5,13710.125,14458.25
19763.55555556,20073.5,13678.125,14537.5
19715.88888889,20170.0,13583.125,14477.5
19496.0,20399.33333333,13470.625,14440.5
19240.61111111,20536.16666667,13469.95833333,14579.0
18924.33333333,20415.5,13468.54166667,14623.0
18517.33333333,19954.0,13387.70833333,14297.5
17874.55555556,19345.33333333,13066.625,13763.0
17115.55555556,18603.16666667,12495.70833333,12978.5
16560.33333333,18064.66666667,11965.5,12502.5
16216.33333333,17764.83333333,11648.25,12175.5
16106.05555556,17718.83333333,11485.08333333,12042.5
16110.77777778,17737.5,11467.33333333,12023.75
16266.05555556,17968.83333333,11470.16666667,12099.0
16800.27777778,18581.16666667,11718.625,12542.0
18132.94444444,19935.33333333,12710.58333333,13807.0
19599.83333333,21289.5,13806.75,14905.5
19926.5,21591.66666667,14158.95833333,15135.5
19804.0,21340.83333333,14166.70833333,15009.75
19721.44444444,21004.5,14163.125,14841.25
19574.88888889,20661.66666667,14202.125,14714.75
19430.94444444,20323.83333333,14105.91666667,14488.75
19384.55555556,20066.5,14056.25,14478.5
19398.83333333,19992.66666667,13946.08333333,14519.0
19605.22222222,19958.16666667,13837.83333333,14467.0
19876.27777778,20000.0,13875.08333333,14409.5
19849.72222222,20137.5,13802.58333333,14378.0
19646.16666667,20363.0,13708.95833333,14390.0
19422.11111111,20477.66666667,13676.875,14405.0
19174.77777778,20395.33333333,13653.45833333,14327.0
18717.5,20038.33333333,13534.29166667,14057.25
18023.44444444,19473.0,13236.33333333,13468.0
17220.61111111,18738.33333333,12656.375,12700.5
16677.72222222,18267.66666667,12036.29166667,12226.5
16327.22222222,18024.66666667,11665.41666667,11915.5
16163.61111111,17930.0,11500.83333333,11821.0
16147.77777778,17970.16666667,11423.41666667,11815.0
16240.5,18116.33333333,11394.83333333,11895.75
16739.27777778,18587.66666667,11693.875,12216.0
18087.55555556,20027.33333333,12829.45833333,13410.0
19608.05555556,21315.5,13989.375,14592.0
19932.27777778,21602.83333333,14318.29166667,14649.5
19784.27777778,21399.66666667,14257.625,14542.5
19671.61111111,21009.66666667,14199.125,14365.5
19516.72222222,20672.33333333,14071.45833333,14276.0
19410.11111111,20269.16666667,13951.25,14235.75
19304.55555556,20015.33333333,13853.58333333,14182.25
19448.83333333,19943.0,13775.66666667,14104.75
19592.0,19854.5,13694.5,14069.25
19803.66666667,19935.5,13681.5,14118.0
19779.77777778,20127.33333333,13598.66666667,14113.25
19542.38888889,20259.16666667,13562.375,14237.75
19299.22222222,20371.5,13541.625,14389.25
18987.22222222,20209.83333333,13506.91666667,14375.25
18540.77777778,19790.5,13396.5,14109.25
17907.61111111,19196.16666667,13088.29166667,13441.75
17140.88888889,18529.16666667,12409.54166667,12786.0
16619.66666667,18086.33333333,11907.375,12282.25
16213.61111111,17822.16666667,11465.91666667,12041.0
16035.27777778,17720.0,11304.16666667,11825.5
16012.83333333,17742.0,11245.33333333,11845.75
16132.44444444,17923.0,11272.70833333,12006.5
16619.61111111,18439.0,11581.16666667,12444.5
17954.77777778,19724.33333333,12642.41666667,13588.25
19467.44444444,20964.5,13708.75,14825.75
19811.33333333,21313.83333333,14142.375,15095.5
19660.0,21135.0,14158.41666667,15034.0
19511.27777778,20812.83333333,14089.20833333,14881.0
19355.5,20328.0,13922.70833333,14690.5
19251.55555556,20055.33333333,13777.125,14556.75
19211.27777778,19766.33333333,13724.04166667,14537.0
19272.16666667,19610.0,13671.66666667,14477.0
19407.83333333,19503.83333333,13647.58333333,14448.5
19699.05555556,19645.5,13648.875,14557.25
19710.22222222,19788.5,13611.66666667,14619.5
19511.77777778,20089.66666667,13529.79166667,14568.75
19252.55555556,20254.5,13492.41666667,14765.75
18937.27777778,20152.5,13415.29166667,14803.0
18522.88888889,19829.83333333,13277.58333333,14450.25
17900.61111111,19316.0,12944.08333333,13883.75
17110.88888889,18661.16666667,12293.83333333,13225.25
16559.61111111,18175.83333333,11881.95833333,12591.75
16226.0,17952.16666667,11492.79166667,12223.0
16059.05555556,17879.66666667,11316.125,12159.25
16076.61111111,17907.16666667,11269.20833333,12154.75
16189.22222222,18080.0,11286.20833333,12218.25
16713.66666667,18597.33333333,11585.33333333,12659.75
18024.61111111,19887.16666667,12584.83333333,13874.5
19537.33333333,21107.16666667,13730.79166667,15134.5
20017.27777778,21434.33333333,14124.04166667,15427.0
19958.66666667,21313.0,14179.375,15271.25
19873.88888889,20998.5,14131.58333333,15229.0
19689.0,20511.83333333,13949.70833333,14936.5
19502.94444444,20211.16666667,13735.875,14719.0
19382.22222222,19900.5,13592.75,14663.0
19396.88888889,19720.16666667,13403.08333333,14645.5
19464.22222222,19516.83333333,13252.75,14456.25
19641.5,19482.5,13193.83333333,14452.25
19685.83333333,19614.0,13103.91666667,14305.0
19583.44444444,19958.5,13092.125,14476.75
19273.66666667,20064.33333333,13024.5,14680.25
18805.0,19807.0,12880.04166667,14405.5
18309.94444444,19295.83333333,12716.95833333,14075.0
