x1,x2,x3,x4
15684.33333333,17313.16666667,11487.95833333,11661.25
15438.55555556,17300.33333333,11285.20833333,11529.0
15411.94444444,17285.83333333,11203.45833333,11506.25
15445.94444444,17326.33333333,11171.5,11432.25
15722.44444444,17726.33333333,11241.08333333,11674.0
16505.16666667,18512.33333333,11715.0,12368.0
18379.66666667,20563.16666667,13117.91666667,14197.25
19922.72222222,21827.0,14532.25,15629.5
20255.44444444,22131.16666667,15212.91666667,16050.25
20221.94444444,22011.0,15311.5,16170.5
20317.94444444,21878.66666667,15417.79166667,16202.0
20302.83333333,21708.66666667,15386.70833333,16085.75
20132.72222222,21396.16666667,15239.29166667,16045.5
20001.38888889,21157.0,15108.375,15876.75
19946.94444444,21019.0,14990.66666667,15648.0
20274.38888889,20984.16666667,14919.75,15630.5
20546.94444444,21011.33333333,14750.91666667,15629.0
20755.16666667,21582.33333333,14863.41666667,15965.0
20499.94444444,21891.5,14682.16666667,15931.5
20009.05555556,21752.5,14529.95833333,16004.25
19269.11111111,21112.83333333,14294.125,15595.0
18459.83333333,20175.83333333,13933.83333333,14593.75
17433.22222222,19281.0,13283.33333333,13461.5
16575.94444444,18397.33333333,12589.83333333,12548.75
16021.5,17737.33333333,11815.08333333,11888.75
15759.94444444,17596.16666667,11582.5,11818.5
15618.66666667,17507.0,11475.83333333,11792.5
15628.22222222,17579.0,11399.58333333,11828.0
15876.33333333,17968.83333333,11341.0,11987.5
16630.83333333,18889.16666667,11770.625,12656.0
18413.66666667,20934.5,13129.625,14306.5
19939.77777778,22221.16666667,14482.5,15600.75
20164.27777778,22317.66666667,15082.04166667,16060.5
20181.11111111,22072.0,15275.875,16014.5
20233.66666667,21912.5,15341.125,15959.75
20120.27777778,21711.16666667,15313.0,15848.75
19946.38888889,21360.16666667,15169.875,15733.5
19844.88888889,21178.16666667,15053.75,15547.75
19864.33333333,21016.5,14916.25,15430.5
20191.33333333,21080.5,14832.45833333,15418.75
20514.11111111,21163.83333333,14670.0,15297.75
20790.5,21806.5,14727.41666667,15757.5
20533.05555556,22094.5,14544.5,15976.5
20095.61111111,22073.5,14428.08333333,15931.75
19465.77777778,21536.83333333,14293.75,15337.75
18674.0,20685.83333333,13867.875,14507.75
17534.22222222,19715.66666667,13250.33333333,13546.25
16642.0,18961.66666667,12514.91666667,12572.75
16005.61111111,18368.33333333,11813.58333333,11820.0
15748.72222222,18291.33333333,11629.20833333,11550.0
15640.55555556,18233.83333333,11500.33333333,11424.5
15670.16666667,18276.33333333,11469.58333333,11402.25
15916.33333333,18600.33333333,11493.5,11602.0
16668.66666667,19465.5,11885.66666667,12359.25
18623.5,21469.33333333,13219.375,14176.75
20200.83333333,22794.5,14660.58333333,15436.25
20422.44444444,22832.83333333,15224.29166667,15749.0
20280.16666667,21195.16666667,15362.875,15974.75
20322.83333333,22205.16666667,15469.91666667,16017.75
20180.66666667,21734.16666667,15400.5,15818.75
19996.5,21236.5,15273.04166667,15667.0
19944.61111111,21014.5,15145.04166667,15360.25
19964.66666667,20811.83333333,14939.83333333,15329.5
20299.77777778,20832.66666667,14851.16666667,15340.25
20525.11111111,20965.5,14667.875,15378.75
20781.11111111,21604.0,14754.83333333,15444.0
20454.77777778,21971.16666667,14635.33333333,15464.5
19874.11111111,21927.0,14500.58333333,15547.5
19236.05555556,21434.83333333,14307.875,15113.75
18338.44444444,20583.83333333,13886.33333333,14253.75
17314.55555556,19660.16666667,13230.25,13269.0
16376.27777778,18911.83333333,12541.5,12377.0
15802.88888889,18297.33333333,11817.625,11930.75
15572.11111111,18168.66666667,11570.70833333,11670.75
15489.72222222,18114.16666667,11474.33333333,11595.0
15485.27777778,18106.33333333,11419.5,11587.0
15652.55555556,18385.33333333,11385.625,11820.0
16432.83333333,19122.0,11766.75,12445.25
18328.72222222,20976.83333333,13183.79166667,14050.25
19951.33333333,22414.83333333,14562.54166667,15403.75
20114.55555556,22397.66666667,15090.0,15829.75
19998.5,22224.0,15202.04166667,15735.0
20141.22222222,21916.0,15211.41666667,15668.5
20029.61111111,21518.16666667,15172.0,15675.5
19933.38888889,21164.16666667,15017.16666667,15801.25
19848.05555556,20869.0,14924.16666667,15517.25
19897.5,20668.33333333,14798.25,15253.25
20222.22222222,20751.5,14744.875,15302.0
20516.22222222,20768.33333333,14548.20833333,15327.5
20765.55555556,21263.66666667,14596.33333333,15531.25
20484.0,21621.33333333,14410.0,15547.25
20050.16666667,21641.33333333,14270.125,15648.25
19362.16666667,21131.33333333,14081.91666667,15354.75
18542.61111111,20334.16666667,13628.375,14617.0
17537.5,19336.0,13002.875,13588.0
16619.11111111,18579.16666667,12262.45833333,12592.0
15998.27777778,17988.5,11678.41666667,12015.75
15689.55555556,17867.33333333,11423.75,11876.5
15568.88888889,17889.33333333,11308.125,11817.5
15599.44444444,17941.16666667,11265.125,11784.25
15874.72222222,18224.16666667,11281.25,11890.75
16711.61111111,18944.5,11691.66666667,12617.25
18659.83333333,20529.33333333,12990.54166667,14197.5
20265.33333333,21685.16666667,14379.25,15645.25
20600.38888889,18487.0,14945.70833333,15964.75
20542.88888889,21789.0,15134.41666667,15976.0
20599.83333333,21566.0,15180.625,15961.5
20437.61111111,21231.66666667,15065.20833333,15659.75
20225.27777778,20823.0,14886.375,15277.5
19961.94444444,20412.83333333,14608.875,14958.25
19799.72222222,20031.0,14297.25,14752.25
19911.38888889,19967.66666667,14064.41666667,14531.25
20123.27777778,20042.66666667,13955.16666667,14482.0
20372.5,20606.83333333,13927.95833333,14954.75
20064.38888889,21020.83333333,13772.41666667,14974.75
19430.16666667,20779.16666667,13549.83333333,14939.5
18602.11111111,20135.5,13248.875,14346.0
17823.5,19406.5,12915.125,13569.25
17012.44444444,18750.5,12494.20833333,13060.25
16355.77777778,18213.66666667,11997.75,12512.5
15776.55555556,17648.66666667,11368.54166667,12025.0
15468.38888889,17509.0,11112.20833333,11809.25
15318.33333333,17527.83333333,10966.41666667,11608.25
15283.33333333,17502.66666667,10866.54166667,11517.0
15375.11111111,17636.5,10759.16666667,11567.0
15564.5,17925.0,10707.16666667,11733.75
16130.11111111,18382.33333333,10963.20833333,12094.25
16855.38888889,18820.83333333,11530.29166667,12417.75
17583.94444444,19453.0,12269.0,13073.5
18184.83333333,19784.66666667,12852.54166667,13617.5
18518.83333333,19705.5,13046.04166667,13882.0
18609.77777778,19457.16666667,13043.04166667,13846.75
18525.77777778,19073.16666667,12939.25,13606.25
18378.88888889,18675.16666667,12723.5,13428.75
18302.22222222,18454.16666667,12540.0,13340.25
18575.88888889,18479.83333333,12465.08333333,13368.25
19084.44444444,18696.33333333,12485.58333333,13483.25
19391.11111111,19284.16666667,12704.91666667,13768.25
19135.88888889,19753.66666667,12784.08333333,14114.0
18611.77777778,19614.16666667,12631.54166667,14123.0
18043.0,19165.66666667,12522.91666667,13661.75
17451.61111111,18584.0,12292.25,13046.0
16777.05555556,18086.66666667,11975.54166667,12434.0
16178.22222222,15032.66666667,11606.25,11848.5
15674.66666667,17179.16666667,11070.95833333,11503.25
15390.77777778,17158.33333333,10815.95833333,11249.75
15223.55555556,17133.66666667,10679.16666667,11086.0
15178.61111111,17193.33333333,10594.41666667,10995.25
15264.0,17275.0,10508.08333333,11137.0
15459.77777778,17434.16666667,10454.08333333,11371.5
15891.72222222,17666.5,10650.04166667,11487.0
16376.94444444,18039.33333333,11102.95833333,11696.0
16986.66666667,18353.83333333,11749.95833333,12433.0
17687.38888889,18817.16666667,12326.79166667,13110.75
18114.44444444,18948.33333333,12686.29166667,13454.5
18415.66666667,18796.66666667,12803.91666667,13495.75
18454.66666667,18472.66666667,12769.375,13370.75
18306.05555556,18233.5,12688.54166667,13244.0
18335.72222222,18098.0,12561.625,13193.75
18685.11111111,18037.83333333,12451.83333333,13096.75
19333.72222222,18249.83333333,12562.5,13416.75
19756.55555556,18820.33333333,12834.66666667,13919.0
19654.22222222,19479.83333333,12969.375,14366.5
19315.0,19666.83333333,13069.625,14554.0
18710.94444444,19426.83333333,13042.58333333,14146.0
17970.5,18769.5,12737.41666667,13551.5
17217.61111111,18044.0,12302.125,12803.5
16531.66666667,17328.83333333,11692.08333333,12178.25
