x1,x2,x3,x4
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,9.8e-5,-0.0
0.0,0.0,0.00751859,-0.0
0.0,0.0,0.05474268,5.824e-5
2.15e-6,0.00136507,0.14149204,0.02292538
0.00658673,0.05774988,0.26697511,0.13136908
0.0370529,0.19136162,0.37846668,0.24349459
0.1059223,0.31836119,0.48874524,0.3664151
0.17515614,0.42568468,0.56938244,0.46172463
0.2234358,0.50071511,0.61303393,0.52752461
0.24561561,0.53067867,0.61289759,0.56271099
0.2328811,0.49492116,0.5810497,0.55163639
0.19370052,0.42374277,0.51986035,0.48565366
0.13243125,0.32173701,0.43687272,0.37743583
0.04912966,0.21638065,0.34270394,0.25678335
0.00310569,0.09836958,0.24097129,0.12847238
3.0e-8,0.01241144,0.14247251,0.02170615
0.0,1.177e-5,0.06231232,4.912e-5
0.0,0.0,0.01006412,-0.0
0.0,0.0,3.697e-5,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.00011697,-0.0
0.0,0.0,0.00890003,-0.0
0.0,3.0e-8,0.05289159,4.937e-5
1.11e-6,0.00348966,0.13356529,0.02031156
0.00443309,0.04949291,0.24772329,0.13181632
0.03795588,0.16600029,0.34456428,0.24670597
0.12245013,0.28985477,0.4451761,0.37627561
0.1974235,0.37573359,0.51959266,0.48327094
0.24847538,0.43213947,0.55646257,0.5505233
0.2689617,0.44784178,0.55806329,0.57203771
0.25872878,0.42862231,0.53399291,0.54981537
0.20954397,0.3757311,0.48762111,0.48076192
0.1360582,0.29803616,0.420978,0.38321231
0.05246332,0.19859328,0.3339744,0.26010852
0.0028348,0.09569485,0.23985207,0.12066519
1.1e-7,0.01490171,0.14130152,0.01356
0.0,2.974e-5,0.0630981,2.976e-5
0.0,0.0,0.01032178,-0.0
0.0,0.0,4.038e-5,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.00013799,-0.0
0.0,0.0,0.01042468,-0.0
0.0,1.9e-7,0.06087714,1.428e-5
5.4e-7,0.00418601,0.14942318,0.01520395
0.00428288,0.05225315,0.27360369,0.15189675
0.04438108,0.15909029,0.3849682,0.29853541
0.13921947,0.26025207,0.49437555,0.43991227
0.22102845,0.34600473,0.57980888,0.55121751
0.273102,0.39586829,0.61880826,0.609799
0.28665908,0.40510953,0.62375539,0.60526607
0.26864852,0.37181202,0.59036166,0.56493338
0.21849786,0.32519938,0.53049139,0.49125823
0.14387842,0.24864653,0.45545334,0.38812053
0.05432169,0.16652235,0.35868799,0.26398816
0.00294658,0.08490476,0.25314244,0.12180479
2.5e-7,0.01300302,0.14909028,0.01901425
0.0,2.577e-5,0.06552241,1.726e-5
0.0,0.0,0.01013328,-0.0
0.0,0.0,3.808e-5,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.00010997,-0.0
0.0,0.0,0.00882856,-0.0
0.0,8.2e-7,0.05685388,2.445e-5
2.3e-7,0.00537078,0.14799476,0.01885284
0.00360285,0.04138723,0.28023487,0.14339143
0.03710302,0.13797848,0.39649677,0.24799159
0.10429749,0.22427254,0.51272131,0.37070424
0.16200347,0.29645944,0.60648065,0.47311919
0.20083377,0.341056,0.65308799,0.5320237
0.22226497,0.34883229,0.65893014,0.55845609
0.21186235,0.32543757,0.62945571,0.53591756
0.17077719,0.28747121,0.56967314,0.4725247
0.1083367,0.22329193,0.48134617,0.38527989
0.03554049,0.15877794,0.38207964,0.2660487
0.00192285,0.08600749,0.26953378,0.11789378
5.0e-7,0.01241509,0.15468635,0.01094466
0.0,4.635e-5,0.06710888,8.98e-6
0.0,0.0,0.01117358,-0.0
0.0,0.0,3.994e-5,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.00010755,-0.0
0.0,0.0,0.00899383,-0.0
0.0,1.95e-6,0.06095929,1.609e-5
5.0e-8,0.00311576,0.15448879,0.0154091
0.00173436,0.05767785,0.28248282,0.14882905
0.02488707,0.17472439,0.39350299,0.30605459
0.08779018,0.28527464,0.50169804,0.44508816
0.14406817,0.36651182,0.59073478,0.55066778
0.18403631,0.42060754,0.64069962,0.61296609
0.20389413,0.43655899,0.64611153,0.62927787
0.19261143,0.41876307,0.62214767,0.59925551
0.15714857,0.37980394,0.56207696,0.52275624
0.10104727,0.30424723,0.48483809,0.41211014
0.03677667,0.21337406,0.38051394,0.27555384
0.00320723,0.11582635,0.26422636,0.11202413
9.8e-7,0.01515516,0.15243234,0.00616845
0.0,6.745e-5,0.06550686,5.25e-6
0.0,0.0,0.01054498,-0.0
0.0,0.0,4.221e-5,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.00012532,-0.0
0.0,0.0,0.00897807,-0.0
0.0,2.67e-6,0.0580289,1.169e-5
2.0e-8,0.00410105,0.1468068,0.01059194
0.00112353,0.05930941,0.27576321,0.11783727
0.01819347,0.17930438,0.38714701,0.25261201
0.08047205,0.29935781,0.5022294,0.38545002
0.1379445,0.4008377,0.58317284,0.47866334
0.18089263,0.46776644,0.6311937,0.52051283
0.20107211,0.4869368,0.6364413,0.54664767
0.18873302,0.44976424,0.61351431,0.52730086
0.15005639,0.38429839,0.55699037,0.46825085
0.09372104,0.30015764,0.48185443,0.36853234
0.0284633,0.20045612,0.37650202,0.25941544
0.0016713,0.10338152,0.26445255,0.10996106
1.24e-6,0.01140735,0.15510388,0.00998145
0.0,3.967e-5,0.06598263,4.7e-6
0.0,0.0,0.01125658,-0.0
0.0,0.0,4.178e-5,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.00010837,0.0
0.0,0.0,0.00885995,0.0
0.0,6.83e-6,0.05865538,4.97e-6
0.0,0.0027554,0.14805014,0.01143165
0.00102071,0.06828389,0.27447582,0.14822327
0.01950485,0.21402535,0.39703392,0.31121781
0.07221151,0.34673249,0.51427232,0.45855005
0.12871243,0.45471268,0.60017181,0.55571174
0.16558293,0.51794399,0.64611379,0.60901803
0.18333257,0.54523051,0.65088069,0.60144238
0.17398499,0.5213138,0.62265331,0.55527478
0.14427694,0.45606492,0.5589066,0.47156865
0.08982478,0.36840614,0.47529477,0.3671281
0.03208283,0.25549702,0.37823585,0.24011765
0.00234223,0.13190915,0.26572652,0.09272866
1.81e-6,0.01771435,0.15577383,0.00716236
0.0,5.228e-5,0.06847467,2.95e-6
0.0,0.0,0.01012813,0.0
0.0,0.0,3.484e-5,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
